ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,1,37.49999999999977,38,30,31,22,1070,1048.5,6510,930,144,930,3614,7,3.2,512257873,822498720,791462425,872691272,16186968
2,1,21,25.5,14,18,32,1070,1086.5,2520,252,96,252,2300,10,3.2,512257873,822498720,791462425,872691272,16186968
3,3,16.499999999999773,25.5,16,18,30,1091,1086.5,2592,288,98,288,2328,9,3.4,512257873,822498720,791462425,872691272,16186968
4,4,28,39,17,27,54,1012.5,1208,8262,459,142,459,5211,18,3,512257873,822498720,791462425,872691272,16186968
5,3,23.5,39,17,29,30,1040.5,1208,4437,493,122,493,3253,9,3.4,512257873,822498720,791462425,872691272,16186968
6,3,30.5,32.5,27,32,30,1033.5,1247,7776,864,148,864,4404,9,3.4,512257873,822498720,791462425,872691272,16186968
7,1,22.499999999999773,33,22,20,32,1085,1128,4400,440,116,440,3128,10,3.2,512257873,822498720,791462425,872691272,16186968
8,3,26,31,24,21,34,1059,1161,5040,504,124,504,3564,10,3.4,512257873,822498720,791462425,872691272,16186968
9,3,22.499999999999773,31,19,19,30,1085,1161,3249,361,106,361,2641,9,3.4,512257873,822498720,791462425,872691272,16186968
10,3,10,17,9,16,34,1059,968,1440,144,84,144,1844,10,3.4,512257873,822498720,791462425,872691272,16186968
11,3,9,17,7,16,20,1069,968,672,112,66,112,1032,6,3.4,512257873,822498720,791462425,872691272,16186968
12,3,19,25,11,23,34,1059,985,2530,253,102,253,2565,10,3.4,512257873,822498720,791462425,872691272,16186968
13,4,29.499999999999773,42,19,26,81,1078,968,13338,494,171,494,7784,27,3,512257873,822498720,791462425,872691272,16186968
14,1,48.49999999999977,31.5,39,31,35,1059,1010,13299,1209,175,1209,6109,11,3.2,512257873,822498720,791462425,872691272,16186968
15,1,55.00000000000023,33,36,21,32,1132.4999999999998,968,7560,756,146,756,4404,10,3.2,512257873,822498720,791462425,872691272,16186968
16,1,55.00000000000023,44.5,41,43,35,1132.4999999999998,1001,19393,1763,203,1763,7643,11,3.2,512257873,822498720,791462425,872691272,16186968
17,4,28,36,17,25,48,1132.4999999999998,1128,6800,425,132,425,4457,16,3,512257873,822498720,791462425,872691272,16186968
18,4,27.000000000000227,36,17,24,75,1160.4999999999998,1128,10200,408,157,408,6558,25,3,512257873,822498720,791462425,872691272,16186968
19,3,40.5,30,22,27,34,951.5,968,5940,594,132,594,3926,10,3.4,512257873,822498720,791462425,872691272,16186968
20,3,25,33,9,23,34,941.5,1035.5,2070,207,98,207,2383,10,3.4,512257873,822498720,791462425,872691272,16186968
21,3,25.5,33,25,21,34,966.5,1035.5,5250,525,126,525,3653,10,3.4,512257873,822498720,791462425,872691272,16186968
22,3,24,43.5,15,37,20,941.5,1068.5,3330,555,124,555,2635,6,3.4,512257873,822498720,791462425,872691272,16186968
23,3,26.5,21.5,9,19,34,965.5,1090.5,1710,171,90,171,2075,10,3.4,512257873,822498720,791462425,872691272,16186968
24,1,52.5,29,35,23,32,1206.5,1163,8050,805,148,805,4517,10,3.2,512257873,822498720,791462425,872691272,16186968
25,3,32,28,25,19,30,1132.4999999999998,1052.5,4275,475,118,475,3115,9,3.4,512257873,822498720,791462425,872691272,16186968
26,3,23.000000000000227,28,7,25,30,1164.4999999999998,1052.5,1575,175,94,175,2095,9,3.4,512257873,822498720,791462425,872691272,16186968
27,1,55.00000000000023,31.5,42,30,19,1132.4999999999998,1080.5,7560,1260,163,1260,3996,6,3.2,512257873,822498720,791462425,872691272,16186968
28,3,39.5,32,31,18,34,1012.5,968,5580,558,132,558,3890,10,3.4,512257873,822498720,791462425,872691272,16186968
29,4,39.5,41.5,25,24,63,1012.5,1000,12600,600,161,600,6774,21,3,512257873,822498720,791462425,872691272,16186968
30,4,36.49999999999977,36,22,24,42,1071,1208,7392,528,134,528,4392,14,3,512257873,822498720,791462425,872691272,16186968
31,4,36.49999999999977,35.5,25,24,81,1071,1244,16200,600,179,600,8538,27,3,512257873,822498720,791462425,872691272,16186968
32,3,18,30,10,26,34,1206.5,1039.5,2600,260,106,260,2708,10,3.4,512257873,822498720,791462425,872691272,16186968
33,3,27.5,30,9,25,30,1224.5,1039.5,2025,225,98,225,2265,9,3.4,512257873,822498720,791462425,872691272,16186968
34,3,23,18,18,16,30,1206.5,1069.5,2592,288,98,288,2328,9,3.4,512257873,822498720,791462425,872691272,16186968
35,3,23,24.5,8,19,34,1206.5,1087.5,1520,152,88,152,1988,10,3.4,512257873,822498720,791462425,872691272,16186968
36,3,22.5,42.5,11,34,30,1229.5,1069.5,3366,374,120,374,3074,9,3.4,512257873,822498720,791462425,872691272,16186968
37,3,24,34,21,25,30,1012.5,1048.5,4725,525,122,525,3285,9,3.4,512257873,822498720,791462425,872691272,16186968
38,3,26.5,34,11,23,34,1036.5,1048.5,2530,253,102,253,2565,10,3.4,512257873,822498720,791462425,872691272,16186968
39,3,22,28,15,23,27,1068,1286.5,2760,345,103,345,2397,8,3.4,512257873,822498720,791462425,872691272,16186968
40,3,17.499999999999773,28,13,21,34,1090,1286.5,2730,273,102,273,2585,10,3.4,512257873,822498720,791462425,872691272,16186968
41,3,20,37.5,9,26,34,1068,1314.5,2340,234,104,234,2614,10,3.4,512257873,822498720,791462425,872691272,16186968
42,4,29,35,17,24,75,1132.4999999999998,1208,10200,408,157,408,6558,25,3,512257873,822498720,791462425,872691272,16186968
43,3,26.000000000000227,35,24,32,34,1161.4999999999998,1208,7680,768,146,768,4576,10,3.4,512257873,822498720,791462425,872691272,16186968
44,2,55.00000000000023,60.5,42,46,109,1132.4999999999998,1291.5,54096,1932,285,1932,21116,28,3.9,512257873,822498720,791462425,872691272,16186968
45,4,39.5,35,25,24,81,1012.5,1128,16200,600,179,600,8538,27,3,512257873,822498720,791462425,872691272,16186968
46,3,23,29,15,25,30,1012.5,1163,3375,375,110,375,2775,9,3.4,512257873,822498720,791462425,872691272,16186968
47,3,16.5,29,16,18,30,1035.5,1163,2592,288,98,288,2328,9,3.4,512257873,822498720,791462425,872691272,16186968
48,4,45.5,40,26,27,51,1206.5,1270.5,11934,702,157,702,6108,17,3,512257873,822498720,791462425,872691272,16186968
49,4,45.5,41.5,28,30,81,1206.5,1310.5,22680,840,197,840,10236,27,3,512257873,822498720,791462425,872691272,16186968
50,4,48.5,35.5,29,25,81,943.5,1316.5,19575,725,189,725,9473,27,3,512257873,822498720,791462425,872691272,16186968
51,1,23,27,16,21,35,937.5,1128,3696,336,109,336,2926,11,3.2,512257873,822498720,791462425,872691272,16186968
52,4,32,37,18,26,57,937.5,1155,8892,468,145,468,5484,19,3,512257873,822498720,791462425,872691272,16186968
53,3,22.5,37,12,35,30,969.5,1155,3780,420,124,420,3240,9,3.4,512257873,822498720,791462425,872691272,16186968
54,3,48.5,31,31,26,30,1012.5,1286.5,7254,806,144,806,4226,9,3.4,512257873,822498720,791462425,872691272,16186968
55,4,28,34.5,17,24,75,1012.5,1317.5,10200,408,157,408,6558,25,3,512257873,822498720,791462425,872691272,16186968
56,3,20.5,34.5,17,20,27,1040.5,1317.5,2720,340,101,340,2338,8,3.4,512257873,822498720,791462425,872691272,16186968
57,3,40.5,33,26,30,30,1206.5,968,7020,780,142,780,4140,9,3.4,512257873,822498720,791462425,872691272,16186968
58,3,16,31.5,10,21,30,1206.5,1001,1890,210,92,210,2070,9,3.4,512257873,822498720,791462425,872691272,16186968
59,1,24.5,31.5,20,21,32,1222.5,1001,4200,420,114,420,3044,10,3.2,512257873,822498720,791462425,872691272,16186968
60,5,104,55,90,36,8,888,892.5,6480,3240,260,3240,5256,2,4,512257873,822498720,791462425,872691272,16186968
61,3,27,24,19,23,34,1058.5,923.5,4370,437,118,437,3293,10,3.4,512257873,822498720,791462425,872691272,16186968
62,3,21.999999999999773,24,16,18,30,1085.5,923.5,2592,288,98,288,2328,9,3.4,512257873,822498720,791462425,872691272,16186968
63,1,25,32,19,27,35,1132.4999999999998,915.5,5643,513,127,513,3733,11,3.2,512257873,822498720,791462425,872691272,16186968
64,3,30.000000000000227,26,21,18,20,1157.4999999999998,892.5,2268,378,98,378,1938,6,3.4,512257873,822498720,791462425,872691272,16186968
65,3,16,29,9,20,34,1157.4999999999998,918.5,1800,180,92,180,2152,10,3.4,512257873,822498720,791462425,872691272,16186968
66,3,14.000000000000227,29,9,26,34,1173.4999999999998,918.5,2340,234,104,234,2614,10,3.4,512257873,822498720,791462425,872691272,16186968
67,1,46.5,31,41,19,35,888,1035.5,8569,779,155,779,4979,11,3.2,512257873,822498720,791462425,872691272,16186968
68,1,26,45.5,19,39,35,888,1066.5,8151,741,151,741,4801,11,3.2,512257873,822498720,791462425,872691272,16186968
69,3,20.5,22.5,20,20,30,914,1089.5,3600,400,110,400,2800,9,3.4,512257873,822498720,791462425,872691272,16186968
70,1,54.5,35,42,22,25,1259,1039.5,7392,924,153,924,4124,8,3.2,512257873,822498720,791462425,872691272,16186968
71,3,26,37.5,17,18,34,1259,1074.5,3060,306,104,306,2686,10,3.4,512257873,822498720,791462425,872691272,16186968
72,4,28.5,37.5,16,25,72,1285,1074.5,9600,400,154,400,6304,24,3,512257873,822498720,791462425,872691272,16186968
73,3,42.5,34,34,22,34,888,1128,7480,748,146,748,4556,10,3.4,512257873,822498720,791462425,872691272,16186968
74,3,47.5,30,32,23,34,1266,1128,7360,736,144,736,4476,10,3.4,512257873,822498720,791462425,872691272,16186968
75,1,47.5,34,36,24,28,1266,1158,7776,864,148,864,4224,9,3.2,512257873,822498720,791462425,872691272,16186968
76,2,39.5,58.5,24,47,117,888,1208,33840,1128,259,1128,17742,30,3.9,512257873,822498720,791462425,872691272,16186968
77,3,27,38.5,9,26,27,888,1313.5,1872,234,97,234,2124,8,3.4,512257873,822498720,791462425,872691272,16186968
78,3,21.5,38.5,12,35,34,915,1313.5,4200,420,128,420,3616,10,3.4,512257873,822498720,791462425,872691272,16186968
79,2,62,55.5,47,43,113,1206.5,1208,58609,2021,293,2021,22361,29,3.9,512257873,822498720,791462425,872691272,16186968
80,3,15,38.5,10,26,23,1328,1238,1820,260,95,260,1916,7,3.4,512257873,822498720,791462425,872691272,16186968
81,3,23.5,38.5,16,34,20,1343,1238,3264,544,120,544,2544,6,3.4,512257873,822498720,791462425,872691272,16186968
82,4,34.5,38,18,27,54,1328,1283.5,8748,486,144,486,5346,18,3,512257873,822498720,791462425,872691272,16186968
83,3,14,30.5,9,26,27,1328,1321.5,1872,234,97,234,2124,8,3.4,512257873,822498720,791462425,872691272,16186968
84,3,20.5,30.5,17,25,30,1342,1321.5,3825,425,114,425,2945,9,3.4,512257873,822498720,791462425,872691272,16186968
85,3,40.5,32,33,28,34,888,1367,9240,924,156,924,5072,10,3.4,512257873,822498720,791462425,872691272,16186968
86,3,16,34.5,12,17,30,888,1399,1836,204,88,204,1944,9,3.4,512257873,822498720,791462425,872691272,16186968
87,3,24.5,34.5,21,25,17,904,1399,2625,525,109,525,2089,5,3.4,512257873,822498720,791462425,872691272,16186968
88,3,25,31,17,17,27,935.5,1367,2312,289,95,289,2125,8,3.4,512257873,822498720,791462425,872691272,16186968
89,3,31.5,31,30,21,20,960.5,1367,3780,630,122,630,2670,6,3.4,512257873,822498720,791462425,872691272,16186968
90,1,56.5,35.5,37,21,32,935.5,1398,7770,777,148,777,4489,10,3.2,512257873,822498720,791462425,872691272,16186968
91,3,26,42,9,23,34,1012.5,1367,2070,207,98,207,2383,10,3.4,512257873,822498720,791462425,872691272,16186968
92,3,24.5,42,7,34,34,1038.5,1367,2380,238,116,238,3026,10,3.4,512257873,822498720,791462425,872691272,16186968
93,3,22,34,17,21,30,1070,1367,3213,357,106,357,2637,9,3.4,512257873,822498720,791462425,872691272,16186968
94,3,15.499999999999773,34,10,22,34,1092,1367,2200,220,98,220,2396,10,3.4,512257873,822498720,791462425,872691272,16186968
95,4,37.49999999999977,39.5,27,24,81,1070,1401,17496,648,183,648,8910,27,3,512257873,822498720,791462425,872691272,16186968
96,1,55.00000000000023,36.5,41,34,32,1132.4999999999998,1394,13940,1394,182,1394,6194,10,3.2,512257873,822498720,791462425,872691272,16186968
97,1,27,27,20,21,32,1206.5,1367,4200,420,114,420,3044,10,3.2,512257873,822498720,791462425,872691272,16186968
98,3,27,31.5,24,27,34,1206.5,1394,6480,648,136,648,4116,10,3.4,512257873,822498720,791462425,872691272,16186968
99,4,30,45.5,17,34,81,808,828,15606,578,183,578,8840,27,3,512257873,822498720,791462425,872691272,16186968
100,3,34,24,17,18,34,838,828,3060,306,104,306,2686,10,3.4,512257873,822498720,791462425,872691272,16186968
101,3,34,21.5,26,16,34,838,852,4160,416,118,416,3272,10,3.4,512257873,822498720,791462425,872691272,16186968
102,3,27,31,18,25,34,888,820,4500,450,120,450,3374,10,3.4,512257873,822498720,791462425,872691272,16186968
