Type,Floor_Area,WLC_MtCO2e,Lot_Coverage,FSR
1,178829,517.932553,0.5936256941935517,5.765097479790774
2,280465,838.590936,0.5873110051884012,16.497455957177717
3,343365,808.491745,0.5306379652601864,4.711261735619686
4,368033,883.901059,0.40449813807563734,9.229494116098136
5,8874,16.430232,0.5359617156492157,1.0971810089020773
