Type,Floor_Area,WLC_MtCO2e,Lot_Coverage,FSR
1,85805,248.029864,0.5493693641662419,5.760174540572292
2,1138724,3402.323997,0.5694104715324765,14.735565771297498
3,33286,78.004984,0.46050354678379507,4.223307745987439
4,620280,1487.034636,0.42083178636959545,10.077578573691524
5,83914,155.181404,0.591900785253162,1.5171441227253413
