Type,Floor_Area,WLC_MtCO2e,Lot_Coverage,FSR
1,896014,2588.570843,0.5792800072567896,3.4133021468039826
2,981644,2926.469688,0.6287296283780068,8.370302787417822
3,144331,338.254805,0.4914775339213885,2.518876609409291
4,249785,598.639645,0.3956249037350565,6.662221362796805
5,416594,770.336224,0.605568160015651,1.526853641127418
