Type,Floor_Area,WLC_MtCO2e,Lot_Coverage,FSR
1,470157,1.360957281,224191.25,3.29483286934919
2,528118,1.575614265,112870.75,7.463114942325697
3,583505,1.372462419,353642.25,2.465268425716733
4,54842,0.131594551,11467.25,6.910316585289022
5,102660,0.190219344,105417.5,1.5819278686503686
