,NRHR_areas,RHR_areas,NRLR_areas,RLR_areas,NRHR_GHG,RHR_GHG,NRLR_GHG,RLR_GHG
59,394322.0,227585.0,414151.0,385394.0,1.178633838,0.546361987,1.198720268,0.906416904
60,200947.0,154134.0,449137.0,486318.0,0.600648864,0.370015503,1.299751751,1.144155867
61,433600.0,232038.0,212681.0,443060.0,1.293838296,0.556466304,0.615568663,1.040616685
62,58552.0,238704.0,346635.0,415064.0,0.175223187,0.57297141,1.002816405,0.976439103
63,595738.0,214235.0,553564.0,368551.0,1.779354963,0.513876184,1.600947005,0.865887228
64,729650.0,76644.0,828367.0,539442.0,2.180760852,0.183942348,2.39469188,1.266581336
65,805068.0,291971.0,517172.0,325458.0,2.401765965,0.700262815,1.496588353,0.764418557
66,356756.0,214699.0,437199.0,441210.0,1.066781448,0.514586642,1.264426794,1.036400125
67,495770.0,359236.0,322227.0,279212.0,1.482373392,0.860784047,0.93115734,0.655475233
68,324476.0,354058.0,234600.0,217587.0,0.96929202,0.848619011,0.678645642,0.511361335
69,275504.0,232854.0,233516.0,356890.0,0.823371084,0.558552006,0.675671539,0.83819589
70,906984.0,362626.0,571341.0,249417.0,2.70651,0.869641721,1.652131311,0.584566855
71,675003.0,344977.0,685242.0,268467.0,2.018484384,0.82646531,1.98193005,0.629806458
72,690237.0,169722.0,624570.0,389218.0,2.063135448,0.407238939,1.80607173,0.913383874
73,515045.0,318817.0,408460.0,306542.0,1.537001748,0.764298356,1.181718452,0.719008647
74,718717.0,322078.0,457575.0,175556.0,2.147117604,0.772009418,1.32250743,0.41247227
75,531778.0,261632.0,618733.0,350412.0,1.588867815,0.627356188,1.788994211,0.821811666
76,532116.0,344972.0,319358.0,255494.0,1.586472075,0.826736326,0.922999108,0.599386402
77,1029045.0,297006.0,786329.0,265479.0,3.071425176,0.712014513,2.272665934,0.621741957
78,639337.0,233770.0,717699.0,288757.0,1.9099473,0.560693321,2.07424953,0.677076965
79,834550.0,369382.0,412296.0,279764.0,2.490433338,0.885332843,1.191727131,0.6556208
80,621142.0,295774.0,604245.0,212263.0,1.857555048,0.709328915,1.746282498,0.497833278
81,815127.0,251155.0,699505.0,301590.0,2.433350868,0.601625219,2.021338769,0.706558584
82,750657.0,256727.0,567012.0,304661.0,2.238861888,0.615361297,1.63807857,0.71414559
83,569864.0,341671.0,227532.0,192902.0,1.70147058,0.819087536,0.65772279,0.452494066
84,772679.0,426886.0,827658.0,219762.0,2.309480373,1.023017606,2.390947185,0.514560863
85,825778.0,187293.0,1065398.0,280826.0,2.46633381,0.448927233,3.077134108,0.658058029
86,687549.0,431542.0,371249.0,194808.0,2.05091223,1.033168814,1.072883128,0.456630475
87,664403.0,227391.0,596944.0,266310.0,1.984271433,0.545628441,1.725096629,0.623974376
88,760215.0,226835.0,535715.0,243481.0,2.269759308,0.54389449,1.547880574,0.570497174
89,644645.0,353369.0,428519.0,193230.0,1.923340977,0.845930782,1.237849189,0.452586865
90,314363.0,378067.0,491211.0,168917.0,0.941134026,0.905852792,1.419642711,0.395479708
91,903071.0,350083.0,1156557.0,206897.0,2.696946873,0.839300039,3.339853023,0.485012063
