Type,Floor_Area,WLC_MtCO2e,Lot_Coverage,FSR
1,221504,0.640680637,62617.75,5.550817885088868
2,4361526,13.066424859,481242.25,14.02071671907862
3,78953,0.185312881,28276.5,4.153999947386421
4,516152,1.237943548,75475.75,9.705069687639552
5,157713,0.291215706,157215.5,1.6125496531310228
