ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,1,62.5,27,43,23,19,988,1108,5934,989,151,989,3497,6,3.2,587567823,5235618735,390865719,1108416666,191030514
2,1,62.5,37,43,35,25,988,1135,12040,1505,181,1505,5405,8,3.2,587567823,5235618735,390865719,1108416666,191030514
3,2,87,46,68,35,70,1146.5,967.5,42840,2380,276,2380,16800,18,3.9,587567823,5235618735,390865719,1108416666,191030514
4,2,81.5,54.5,68,44,78,988,914,59840,2992,302,2992,20464,20,3.9,587567823,5235618735,390865719,1108416666,191030514
5,2,74.5,64,60,45,97,1057.5,1108,67500,2700,307,2700,23070,25,3.9,587567823,5235618735,390865719,1108416666,191030514
6,4,41.5,35,24,24,75,1146.5,1249.5,14400,576,171,576,7776,25,3,587567823,5235618735,390865719,1108416666,191030514
7,4,41.5,47.5,22,37,51,1146.5,1284.5,13838,814,169,814,6832,17,3,587567823,5235618735,390865719,1108416666,191030514
8,1,35.5,29,18,27,28,1018,1188,4374,486,118,486,3006,9,3.2,587567823,5235618735,390865719,1108416666,191030514
9,2,65.5,45.5,53,35,117,988,1217,55650,1855,293,1855,22447,30,3.9,587567823,5235618735,390865719,1108416666,191030514
10,1,55.5,36,42,18,22,988,1027,5292,756,142,756,3396,7,3.2,587567823,5235618735,390865719,1108416666,191030514
11,3,31,30,13,19,20,988,1063,1482,247,84,247,1527,6,3.4,587567823,5235618735,390865719,1108416666,191030514
12,3,24.5,30,15,25,23,1019,1063,2625,375,103,375,2215,7,3.4,587567823,5235618735,390865719,1108416666,191030514
13,3,46,28,34,26,34,1146.5,1108,8840,884,154,884,4964,10,3.4,587567823,5235618735,390865719,1108416666,191030514
14,4,46,36,29,24,63,1146.5,1136,14616,696,169,696,7374,21,3,587567823,5235618735,390865719,1108416666,191030514
15,1,41,64,36,52,19,1192.5,1108,11232,1872,195,1872,5216,6,3.2,587567823,5235618735,390865719,1108416666,191030514
16,5,71.5,42,66,31,8,1060.5,1258.5,4092,2046,202,2046,3598,2,4,587567823,5235618735,390865719,1108416666,191030514
