ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,2,82.5,57.5,65,38,117,1109.5,972.5,74100,2470,323,2470,26572,30,3.9,672554705,6092844939,253940748,1304070084,136499192
2,1,55.5,41,38,25,35,1136.5,1126.5,10450,950,161,950,5360,11,3.2,672554705,6092844939,253940748,1304070084,136499192
3,5,55.5,31.5,53,22,12,1136.5,1167.5,3498,1166,162,1166,2966,3,4,672554705,6092844939,253940748,1304070084,136499192
4,2,46.5,63.5,32,48,113,1212.5,1044,44544,1536,273,1536,19616,29,3.9,672554705,6092844939,253940748,1304070084,136499192
5,2,58.5,67.5,45,57,113,1133.5,1206,74385,2565,317,2565,25617,29,3.9,672554705,6092844939,253940748,1304070084,136499192
6,2,81.5,72.5,62,54,105,1048,1126.5,90396,3348,337,3348,27708,27,3.9,672554705,6092844939,253940748,1304070084,136499192
7,2,76.5,70.5,60,57,85,951,972.5,75240,3420,319,3420,23310,22,3.9,672554705,6092844939,253940748,1304070084,136499192
8,1,39,31,32,19,32,951,1050,6080,608,134,608,3872,10,3.2,672554705,6092844939,253940748,1304070084,136499192
9,3,39,26.5,33,23,30,951,1081,6831,759,142,759,4119,9,3.4,672554705,6092844939,253940748,1304070084,136499192
10,1,56.5,38,37,28,35,971,1198,11396,1036,165,1036,5586,11,3.2,672554705,6092844939,253940748,1304070084,136499192
11,1,56.5,37.5,40,28,32,971,1236,11200,1120,168,1120,5472,10,3.2,672554705,6092844939,253940748,1304070084,136499192
12,1,51.5,44,36,41,25,1212.5,1292.5,11808,1476,179,1476,5326,8,3.2,672554705,6092844939,253940748,1304070084,136499192
13,2,51.5,51,41,40,85,1212.5,1336.5,36080,1640,247,1640,15410,22,3.9,672554705,6092844939,253940748,1304070084,136499192
14,1,56.5,54,41,43,32,1135.5,1292.5,17630,1763,200,1763,7139,10,3.2,672554705,6092844939,253940748,1304070084,136499192
15,1,56.5,41,37,37,22,1135.5,1346.5,9583,1369,170,1369,4625,7,3.2,672554705,6092844939,253940748,1304070084,136499192
16,2,37.5,64.5,21,49,97,1212.5,972.5,25725,1029,237,1029,14609,25,3.9,672554705,6092844939,253940748,1304070084,136499192
17,3,42.5,29,25,21,30,1084,1206,4725,525,122,525,3285,9,3.4,672554705,6092844939,253940748,1304070084,136499192
18,4,42.5,38.5,27,25,81,1084,1235,18225,675,185,675,9099,27,3,672554705,6092844939,253940748,1304070084,136499192
19,5,75.5,43.5,64,29,8,952,1292.5,3712,1856,194,1856,3344,2,4,672554705,6092844939,253940748,1304070084,136499192
20,1,54.5,39,40,35,16,1048,972.5,7000,1400,166,1400,3800,5,3.2,672554705,6092844939,253940748,1304070084,136499192
21,5,54.5,32.5,53,16,12,1048,1011.5,2544,848,150,848,2504,3,4,672554705,6092844939,253940748,1304070084,136499192
22,2,69.5,64.5,53,48,117,958,1126.5,76320,2544,319,2544,26178,30,3.9,672554705,6092844939,253940748,1304070084,136499192
23,4,30,51.5,18,38,54,892.5,896,12312,684,166,684,6732,18,3,672554705,6092844939,253940748,1304070084,136499192
24,4,29.5,51.5,16,41,63,922.5,896,13776,656,177,656,7838,21,3,672554705,6092844939,253940748,1304070084,136499192
25,3,39,34,26,30,23,959,877,5460,780,135,780,3356,7,3.4,672554705,6092844939,253940748,1304070084,136499192
26,3,29.5,34,17,32,30,998,877,4896,544,128,544,3484,9,3.4,672554705,6092844939,253940748,1304070084,136499192
27,5,68.5,36.5,59,24,12,959,911,4248,1416,178,1416,3408,3,4,672554705,6092844939,253940748,1304070084,136499192
28,4,31.5,41,18,30,60,1048,872,10800,540,156,540,6300,20,3,672554705,6092844939,253940748,1304070084,136499192
29,4,31.5,34.5,17,24,45,1048,913,6120,408,127,408,4098,15,3,672554705,6092844939,253940748,1304070084,136499192
30,4,43,43,24,28,42,1086.5,872,9408,672,146,672,5040,14,3,672554705,6092844939,253940748,1304070084,136499192
31,3,43,32.5,34,23,34,1086.5,915,7820,782,148,782,4658,10,3.4,672554705,6092844939,253940748,1304070084,136499192
32,2,51.5,62.5,37,43,42,892.5,972.5,17501,1591,202,1591,8311,11,3.9,672554705,6092844939,253940748,1304070084,136499192
33,2,51.5,65.5,36,55,113,892.5,1042,57420,1980,295,1980,22546,29,3.9,672554705,6092844939,253940748,1304070084,136499192
34,2,50.5,64.5,37,51,89,1257,972.5,43401,1887,265,1887,17551,23,3.9,672554705,6092844939,253940748,1304070084,136499192
35,4,41.5,36,23,25,78,1266,1044,14950,575,174,575,8063,26,3,672554705,6092844939,253940748,1304070084,136499192
36,3,41.5,27.5,24,27,34,1266,1080,6480,648,136,648,4116,10,3.4,672554705,6092844939,253940748,1304070084,136499192
37,2,71.5,75.5,57,57,109,892.5,1198,90972,3249,337,3249,28101,28,3.9,672554705,6092844939,253940748,1304070084,136499192
38,2,52.5,46,39,35,97,892.5,1292.5,34125,1365,245,1365,15721,25,3.9,672554705,6092844939,253940748,1304070084,136499192
39,2,52.5,49,35,35,58,892.5,1338.5,18375,1225,198,1225,9345,15,3.9,672554705,6092844939,253940748,1304070084,136499192
40,4,31.5,44.5,16,33,75,996,1343,13200,528,173,528,7878,25,3,672554705,6092844939,253940748,1304070084,136499192
41,5,80.5,39.5,79,35,12,1048,1348,8295,2765,240,2765,5501,3,4,672554705,6092844939,253940748,1304070084,136499192
42,2,36.5,47,25,36,85,1271,1292.5,19800,900,207,900,11270,22,3.9,672554705,6092844939,253940748,1304070084,136499192
43,2,36.5,48,25,36,85,1271,1339.5,19800,900,207,900,11270,22,3.9,672554705,6092844939,253940748,1304070084,136499192
44,4,46.5,35,29,24,66,826.5,884,15312,696,172,696,7692,22,3,672554705,6092844939,253940748,1304070084,136499192
45,3,46.5,28.5,33,27,30,826.5,919,8019,891,150,891,4491,9,3.4,672554705,6092844939,253940748,1304070084,136499192
46,4,40.5,38,30,24,57,832.5,1126.5,13680,720,165,720,6876,19,3,672554705,6092844939,253940748,1304070084,136499192
47,3,40.5,28.5,32,19,34,832.5,1164.5,6080,608,136,608,4076,10,3.4,672554705,6092844939,253940748,1304070084,136499192
48,4,42.5,35,23,24,60,830.5,812.5,11040,552,154,552,6192,20,3,672554705,6092844939,253940748,1304070084,136499192
49,1,59.5,44.5,40,28,32,892.5,844.5,11200,1120,168,1120,5472,10,3.2,672554705,6092844939,253940748,1304070084,136499192
50,3,30,26,19,20,30,959,812.5,3420,380,108,380,2720,9,3.4,672554705,6092844939,253940748,1304070084,136499192
51,3,30,31.5,13,28,34,959,838.5,3640,364,116,364,3152,10,3.4,672554705,6092844939,253940748,1304070084,136499192
52,2,81.5,52.5,63,37,113,1048,812.5,67599,2331,313,2331,24931,29,3.9,672554705,6092844939,253940748,1304070084,136499192
53,1,55.5,36,43,21,35,1136.5,812.5,9933,903,163,903,5383,11,3.2,672554705,6092844939,253940748,1304070084,136499192
54,1,55.5,25.5,42,22,19,1136.5,848.5,5544,924,147,924,3356,6,3.2,672554705,6092844939,253940748,1304070084,136499192
55,3,51.5,29,33,26,13,821.5,972.5,3432,858,131,858,2392,4,3.4,672554705,6092844939,253940748,1304070084,136499192
56,1,51.5,42.5,38,34,32,821.5,1001.5,12920,1292,176,1292,5900,10,3.2,672554705,6092844939,253940748,1304070084,136499192
57,1,29,29,14,20,19,822.5,1200,1680,280,87,280,1572,6,3.2,672554705,6092844939,253940748,1304070084,136499192
58,4,44.5,38,29,26,51,1332.5,1191,12818,754,161,754,6364,17,3,672554705,6092844939,253940748,1304070084,136499192
59,1,24,44.5,23,36,32,1332.5,1229,8280,828,150,828,4604,10,3.2,672554705,6092844939,253940748,1304070084,136499192
60,3,20.5,44.5,12,34,27,1356.5,1229,3264,408,119,408,2892,8,3.4,672554705,6092844939,253940748,1304070084,136499192
61,4,49.5,43,30,25,72,823.5,1292.5,18000,750,182,750,8670,24,3,672554705,6092844939,253940748,1304070084,136499192
62,4,49.5,52,30,33,63,823.5,1335.5,20790,990,189,990,8928,21,3,672554705,6092844939,253940748,1304070084,136499192
63,2,40,71.5,28,55,89,1332.5,812.5,35420,1540,255,1540,16314,23,3.9,672554705,6092844939,253940748,1304070084,136499192
64,1,35.5,30,26,29,32,1372.5,812.5,7540,754,142,754,4274,10,3.2,672554705,6092844939,253940748,1304070084,136499192
65,4,35.5,41.5,18,25,57,1372.5,842.5,8550,450,143,450,5352,19,3,672554705,6092844939,253940748,1304070084,136499192
66,2,75.5,56.5,63,41,113,1332.5,891,74907,2583,321,2583,26087,29,3.9,672554705,6092844939,253940748,1304070084,136499192
67,2,80.5,64.5,66,48,117,1332.5,1043,95040,3168,345,3168,29844,30,3.9,672554705,6092844939,253940748,1304070084,136499192
68,4,46.5,37.5,27,26,42,1370.5,1350,9828,702,148,702,5154,14,3,672554705,6092844939,253940748,1304070084,136499192
69,2,45.5,76.5,27,58,109,827.5,1407,43848,1566,279,1566,20096,28,3.9,672554705,6092844939,253940748,1304070084,136499192
70,5,71.5,33,71,29,12,892.5,1407,6177,2059,212,2059,4459,3,4,672554705,6092844939,253940748,1304070084,136499192
71,5,71.5,42.5,60,30,8,892.5,1440,3600,1800,188,1800,3240,2,4,672554705,6092844939,253940748,1304070084,136499192
72,1,25,33,15,31,35,971,1407,5115,465,127,465,3685,11,3.2,672554705,6092844939,253940748,1304070084,136499192
73,3,31.5,33,31,27,34,996,1407,8370,837,150,837,4781,10,3.4,672554705,6092844939,253940748,1304070084,136499192
74,4,33,42.5,17,32,78,971,1440,14144,544,176,544,8188,26,3,672554705,6092844939,253940748,1304070084,136499192
75,3,23.5,42.5,8,33,34,1004,1440,2640,264,116,264,3052,10,3.4,672554705,6092844939,253940748,1304070084,136499192
76,1,61.5,40,42,22,25,1048,1407,7392,924,153,924,4124,8,3.2,672554705,6092844939,253940748,1304070084,136499192
77,3,26,44.5,13,33,34,1048,1447,4290,429,126,429,3557,10,3.4,672554705,6092844939,253940748,1304070084,136499192
78,4,35.5,44.5,17,32,78,1074,1447,14144,544,176,544,8188,26,3,672554705,6092844939,253940748,1304070084,136499192
79,5,75.5,30.5,61,12,8,1116.5,1407,1464,732,154,732,1900,2,4,672554705,6092844939,253940748,1304070084,136499192
80,4,46,42.5,29,29,48,1212.5,1407,13456,841,164,841,6409,16,3,672554705,6092844939,253940748,1304070084,136499192
81,4,49,42.5,30,26,39,1258.5,1407,10140,780,151,780,5148,13,3,672554705,6092844939,253940748,1304070084,136499192
82,5,69.5,39,55,34,8,1332.5,1407,3740,1870,186,1870,3294,2,4,672554705,6092844939,253940748,1304070084,136499192
83,5,69.5,33.5,61,21,8,1332.5,1446,2562,1281,172,1281,2593,2,4,672554705,6092844939,253940748,1304070084,136499192
84,2,56.5,64.5,45,46,70,767,812.5,37260,2070,252,2070,14810,18,3.9,672554705,6092844939,253940748,1304070084,136499192
85,2,52.5,63.5,37,51,89,767,884,43401,1887,265,1887,17551,23,3.9,672554705,6092844939,253940748,1304070084,136499192
86,2,34.5,69.5,22,51,117,1415,878,33660,1122,263,1122,18204,30,3.9,672554705,6092844939,253940748,1304070084,136499192
87,1,47.5,29,42,19,35,767,972.5,8778,798,157,798,5068,11,3.2,672554705,6092844939,253940748,1304070084,136499192
88,4,47.5,42.5,28,32,45,767,1001.5,13440,896,165,896,6296,15,3,672554705,6092844939,253940748,1304070084,136499192
89,1,58.5,35,39,20,25,767,1126.5,6240,780,143,780,3730,8,3.2,672554705,6092844939,253940748,1304070084,136499192
90,1,28,31.5,14,22,32,767,1161.5,3080,308,104,308,2612,10,3.2,672554705,6092844939,253940748,1304070084,136499192
91,4,48.5,38,30,26,75,767,1200,19500,780,187,780,9180,25,3,672554705,6092844939,253940748,1304070084,136499192
92,4,48.5,35.5,30,24,57,767,1238,13680,720,165,720,6876,19,3,672554705,6092844939,253940748,1304070084,136499192
93,2,49,82.5,36,71,117,1384,1191,76680,2556,331,2556,27594,30,3.9,672554705,6092844939,253940748,1304070084,136499192
94,4,49.5,42,30,28,69,767,1292.5,19320,840,185,840,8844,23,3,672554705,6092844939,253940748,1304070084,136499192
95,2,49.5,53,39,36,113,767,1334.5,40716,1404,263,1404,18354,29,3.9,672554705,6092844939,253940748,1304070084,136499192
96,2,53.5,76.5,35,60,81,767,1407,44100,2100,271,2100,17490,21,3.9,672554705,6092844939,253940748,1304070084,136499192
97,4,34.5,47,20,31,66,1157.5,1444.5,13640,620,168,620,7352,22,3,672554705,6092844939,253940748,1304070084,136499192
98,2,56.5,61.5,44,43,117,1135.5,732,56760,1892,291,1892,22250,30,3.9,672554705,6092844939,253940748,1304070084,136499192
99,3,39.5,31,32,19,30,1420,1031,5472,608,132,608,3668,9,3.4,672554705,6092844939,253940748,1304070084,136499192
100,4,39.5,45.5,22,32,45,1420,1062,10560,704,153,704,5564,15,3,672554705,6092844939,253940748,1304070084,136499192
101,5,95,46,86,30,8,1212.5,1456.5,5160,2580,240,2580,4436,2,4,672554705,6092844939,253940748,1304070084,136499192
102,4,45.5,34.5,27,24,51,767,759,11016,648,153,648,5850,17,3,672554705,6092844939,253940748,1304070084,136499192
103,1,60.5,36,42,22,32,967,724,9240,924,160,924,5020,10,3.2,672554705,6092844939,253940748,1304070084,136499192
104,1,60.5,33.5,42,27,35,967,760,12474,1134,173,1134,5964,11,3.2,672554705,6092844939,253940748,1304070084,136499192
105,4,48.5,36,29,25,78,1212.5,711,18850,725,186,725,9149,26,3,672554705,6092844939,253940748,1304070084,136499192
106,4,39.5,39,22,28,78,1268,711,16016,616,178,616,8416,26,3,672554705,6092844939,253940748,1304070084,136499192
107,4,39.5,43.5,23,24,66,1268,750,12144,552,160,552,6756,22,3,672554705,6092844939,253940748,1304070084,136499192
108,4,40.5,43,26,26,51,1332.5,719,11492,676,155,676,5980,17,3,672554705,6092844939,253940748,1304070084,136499192
109,3,40.5,31.5,33,22,27,1332.5,762,5808,726,137,726,3696,8,3.4,672554705,6092844939,253940748,1304070084,136499192
110,1,50,37,39,33,22,1380,719,9009,1287,166,1287,4455,7,3.2,672554705,6092844939,253940748,1304070084,136499192
111,4,29,37.5,16,27,60,1380,756,8640,432,146,432,5592,20,3,672554705,6092844939,253940748,1304070084,136499192
112,3,21,37.5,10,30,34,1409,756,3000,300,114,300,3020,10,3.4,672554705,6092844939,253940748,1304070084,136499192
113,2,58.5,47,43,35,105,767,1490.5,40635,1505,261,1505,17885,27,3.9,672554705,6092844939,253940748,1304070084,136499192
114,2,58.5,55.5,45,37,97,767,1537.5,41625,1665,261,1665,17573,25,3.9,672554705,6092844939,253940748,1304070084,136499192
115,3,40.5,19,34,18,34,832.5,1547.5,6120,612,138,612,4148,10,3.4,672554705,6092844939,253940748,1304070084,136499192
116,3,40.5,26.5,32,16,34,832.5,1566.5,5120,512,130,512,3776,10,3.4,672554705,6092844939,253940748,1304070084,136499192
117,2,55.5,60,42,45,93,892.5,1489.5,45360,1890,267,1890,18072,24,3.9,672554705,6092844939,253940748,1304070084,136499192
118,2,72.5,56.5,61,46,97,955,1489.5,70150,2806,311,2806,23564,25,3.9,672554705,6092844939,253940748,1304070084,136499192
119,2,55.5,49,39,36,113,1136.5,1498.5,40716,1404,263,1404,18354,29,3.9,672554705,6092844939,253940748,1304070084,136499192
120,1,55.5,45.5,42,29,22,1136.5,1547.5,8526,1218,164,1218,4342,7,3.2,672554705,6092844939,253940748,1304070084,136499192
121,4,49.5,54.5,30,42,42,1380.5,1486.5,17640,1260,186,1260,7308,14,3,672554705,6092844939,253940748,1304070084,136499192
