ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,2,43.5,57,29,43,117,1010,1147,37410,1247,261,1247,18095,30,3.9,525650769,4558747794,465927492,1174272691,50163198
2,3,43.5,21,26,16,34,1010,1204,4160,416,118,416,3272,10,3.4,525650769,4558747794,465927492,1174272691,50163198
3,3,24,28,7,21,20,1010,1225,882,147,76,147,1267,6,3.4,525650769,4558747794,465927492,1174272691,50163198
4,3,19.5,28,8,24,34,1034,1225,1920,192,98,192,2368,10,3.4,525650769,4558747794,465927492,1174272691,50163198
5,2,59.5,50.5,40,38,117,994,948.5,45600,1520,273,1520,19772,30,3.9,525650769,4558747794,465927492,1174272691,50163198
6,5,64.5,43,63,28,8,1187,977.5,3528,1764,190,1764,3220,2,4,525650769,4558747794,465927492,1174272691,50163198
7,5,64.5,32.5,53,15,12,1187,1020.5,2385,795,148,795,2427,3,4,525650769,4558747794,465927492,1174272691,50163198
8,3,27,27,11,18,34,1122.5,1203,1980,198,92,198,2170,10,3.4,525650769,4558747794,465927492,1174272691,50163198
9,3,27,23,21,22,30,1122.5,1230,4158,462,116,462,3042,9,3.4,525650769,4558747794,465927492,1174272691,50163198
10,3,23.5,27,19,23,17,1149.5,1203,2185,437,101,437,1865,5,3.4,525650769,4558747794,465927492,1174272691,50163198
11,3,23.5,23,13,18,34,1149.5,1230,2340,234,96,234,2342,10,3.4,525650769,4558747794,465927492,1174272691,50163198
12,2,73.5,51,60,38,101,1187,919.5,59280,2280,297,2280,22076,26,3.9,525650769,4558747794,465927492,1174272691,50163198
13,3,24,33,7,18,30,1187,1066.5,1134,126,80,126,1626,9,3.4,525650769,4558747794,465927492,1174272691,50163198
14,3,36.5,33,24,19,34,1211,1066.5,4560,456,120,456,3380,10,3.4,525650769,4558747794,465927492,1174272691,50163198
15,1,60.5,34,42,24,25,1187,1099.5,8064,1008,157,1008,4308,8,3.2,525650769,4558747794,465927492,1174272691,50163198
16,3,30.5,33,22,17,34,1251.5,1267,3740,374,112,374,3026,10,3.4,525650769,4558747794,465927492,1174272691,50163198
17,4,30.5,42.5,16,27,72,1251.5,1300,10368,432,158,432,6624,24,3,525650769,4558747794,465927492,1174272691,50163198
18,3,40.5,31,21,22,30,946.5,948.5,4158,462,116,462,3042,9,3.4,525650769,4558747794,465927492,1174272691,50163198
19,4,40.5,43.5,28,26,57,946.5,1009.5,13832,728,165,728,6884,19,3,525650769,4558747794,465927492,1174272691,50163198
20,2,48.5,80.5,35,67,105,1067,972.5,63315,2345,309,2345,23765,27,3.9,525650769,4558747794,465927492,1174272691,50163198
21,2,56.5,49,40,38,117,946.5,1147,45600,1520,273,1520,19772,30,3.9,525650769,4558747794,465927492,1174272691,50163198
22,1,56.5,31,40,24,32,946.5,1222,9600,960,160,960,5056,10,3.2,525650769,4558747794,465927492,1174272691,50163198
