ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,3,42.5,29,31,27,34,1186.5,1299,8370,837,150,837,4781,10,3.4,397927117,758293206,568197063,1083820281,40922116
2,4,42.5,39.5,26,27,72,1186.5,1328,16848,702,178,702,8334,24,3,397927117,758293206,568197063,1083820281,40922116
3,4,32,35,21,24,48,950,1066.5,8064,504,138,504,4824,16,3,397927117,758293206,568197063,1083820281,40922116
4,3,25.5,35,11,23,20,982,1066.5,1518,253,88,253,1613,6,3.4,397927117,758293206,568197063,1083820281,40922116
5,4,34,55,16,43,75,934,992.5,17200,688,193,688,9538,25,3,397927117,758293206,568197063,1083820281,40922116
6,1,39.5,29,29,21,22,968,992.5,4263,609,122,609,2809,7,3.2,397927117,758293206,568197063,1083820281,40922116
7,3,39.5,26,30,25,23,968,1021.5,5250,750,133,750,3280,7,3.4,397927117,758293206,568197063,1083820281,40922116
8,4,39,51.5,20,40,78,1186.5,916,20800,800,198,800,10160,26,3,397927117,758293206,568197063,1083820281,40922116
9,3,38.5,30,28,29,30,1225.5,916,7308,812,144,812,4232,9,3.4,397927117,758293206,568197063,1083820281,40922116
10,4,30,44,18,26,60,1108,1129,9360,468,148,468,5748,20,3,397927117,758293206,568197063,1083820281,40922116
11,5,65.5,40.5,50,22,8,1108,1173,2200,1100,152,1100,2252,2,4,397927117,758293206,568197063,1083820281,40922116
12,1,56,36,43,24,22,1231,1152,7224,1032,156,1032,3980,7,3.2,397927117,758293206,568197063,1083820281,40922116
13,5,71.5,55,54,36,8,1186.5,992.5,3888,1944,188,1944,3384,2,4,397927117,758293206,568197063,1083820281,40922116
14,3,14,32,13,16,34,1026.5,1232.5,2080,208,92,208,2180,10,3.4,397927117,758293206,568197063,1083820281,40922116
15,1,28.5,32,21,26,25,1062.5,1232.5,4368,546,119,546,2896,8,3.2,397927117,758293206,568197063,1083820281,40922116
16,4,36,43.5,23,33,81,1026.5,1264.5,20493,759,193,759,9831,27,3,397927117,758293206,568197063,1083820281,40922116
17,4,28.5,43.5,17,31,66,1062.5,1264.5,11594,527,162,527,6863,22,3,397927117,758293206,568197063,1083820281,40922116
18,3,37,25,26,21,30,1026.5,992.5,4914,546,124,546,3366,9,3.4,397927117,758293206,568197063,1083820281,40922116
19,3,37,30,30,16,34,1026.5,1017.5,4800,480,126,480,3608,10,3.4,397927117,758293206,568197063,1083820281,40922116
20,3,26.5,28,10,19,27,1063.5,1019.5,1520,190,85,190,1756,8,3.4,397927117,758293206,568197063,1083820281,40922116
21,3,37.5,27,28,22,27,1186.5,1152,4928,616,127,616,3316,8,3.4,397927117,758293206,568197063,1083820281,40922116
22,4,37.5,34.5,22,24,60,1186.5,1179,10560,528,152,528,6048,20,3,397927117,758293206,568197063,1083820281,40922116
23,1,54.5,34,42,25,19,1186.5,1232.5,6300,1050,153,1050,3596,6,3.2,397927117,758293206,568197063,1083820281,40922116
24,1,54.5,25.5,36,23,28,1186.5,1266.5,7452,828,146,828,4132,9,3.2,397927117,758293206,568197063,1083820281,40922116
25,4,33,38,19,27,66,1236,1299,11286,513,158,513,6585,22,3,397927117,758293206,568197063,1083820281,40922116
26,3,23,38,10,23,30,1269,1299,2070,230,96,230,2210,9,3.4,397927117,758293206,568197063,1083820281,40922116
27,1,56,30.5,38,27,16,1236,1337,5130,1026,146,1026,3106,5,3.2,397927117,758293206,568197063,1083820281,40922116
28,3,24,36,9,27,30,1186.5,1066.5,2187,243,102,243,2403,9,3.4,397927117,758293206,568197063,1083820281,40922116
29,4,31.5,36,17,25,48,1210.5,1066.5,6800,425,132,425,4457,16,3,397927117,758293206,568197063,1083820281,40922116
30,2,35,55,23,43,101,1097,992.5,25714,989,233,989,14321,26,3.9,397927117,758293206,568197063,1083820281,40922116
31,2,41.5,55,26,36,85,1132,992.5,20592,936,209,936,11476,22,3.9,397927117,758293206,568197063,1083820281,40922116
32,3,38,55.5,23,37,13,1108,1066.5,3404,851,133,851,2411,4,3.4,397927117,758293206,568197063,1083820281,40922116
33,4,27.5,55.5,16,42,81,1146,1066.5,18144,672,197,672,10068,27,3,397927117,758293206,568197063,1083820281,40922116
34,4,38,35,24,24,60,1249,1066.5,11520,576,156,576,6336,20,3,397927117,758293206,568197063,1083820281,40922116
35,3,15,23,12,20,17,1249,1101.5,1200,240,81,240,1328,5,3.4,397927117,758293206,568197063,1083820281,40922116
36,3,23,23,7,19,34,1264,1101.5,1330,133,86,133,1901,10,3.4,397927117,758293206,568197063,1083820281,40922116
37,3,38,20.5,34,19,27,1249,1124.5,5168,646,133,646,3508,8,3.4,397927117,758293206,568197063,1083820281,40922116
38,1,56.5,60.5,43,59,35,951,1153,27907,2537,239,2537,9677,11,3.2,397927117,758293206,568197063,1083820281,40922116
39,3,32,33,15,27,34,1026.5,1066.5,4050,405,118,405,3261,10,3.4,397927117,758293206,568197063,1083820281,40922116
40,3,42.5,33,31,29,23,1058.5,1066.5,6293,899,143,899,3659,7,3.4,397927117,758293206,568197063,1083820281,40922116
41,4,33,42.5,17,30,48,1026.5,1099.5,8160,510,142,510,5022,16,3,397927117,758293206,568197063,1083820281,40922116
42,3,41.5,42.5,23,37,13,1059.5,1099.5,3404,851,133,851,2411,4,3.4,397927117,758293206,568197063,1083820281,40922116
43,1,27.5,26,19,19,16,912.5,903,1805,361,92,361,1577,5,3.2,397927117,758293206,568197063,1083820281,40922116
