Type,Floor_Area,WLC_MtCO2e,Lot_Coverage,FSR
1,180295,0.521721092,62011.75,4.715968166985999
2,663270,1.980848424,87512.25,12.1473016221859
3,271101,0.637141396,113924.75,3.5852451374217673
4,396154,0.94976579,70329.25,7.985808525971506
5,65203,0.12073409,65855.25,1.6051846062001096
