ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,1,35.5,36,25,20,35,1112.5,966.5,5500,500,125,500,3650,11,3.2,1637320191,2660711016,575364243,860102480,246979324
2,4,35.5,50.5,25,31,54,1112.5,1002.5,13950,775,166,775,6823,18,3,1637320191,2660711016,575364243,860102480,246979324
3,3,33.5,42,27,36,13,1226.5,1232.5,3888,972,139,972,2610,4,3.4,1637320191,2660711016,575364243,860102480,246979324
4,1,33.5,33,29,31,12,1226.5,1274.5,3596,899,132,899,2339,4,3.2,1637320191,2660711016,575364243,860102480,246979324
5,4,35.5,37,19,26,51,1226.5,1136.5,8398,494,141,494,5084,17,3,1637320191,2660711016,575364243,860102480,246979324
6,3,35.5,39.5,33,37,20,1226.5,1173.5,7326,1221,160,1221,4021,6,3.4,1637320191,2660711016,575364243,860102480,246979324
7,2,75.5,71.5,65,61,46,1017.5,1141.5,47580,3965,298,3965,15557,12,3.9,1637320191,2660711016,575364243,860102480,246979324
8,1,43.5,64.5,37,59,19,1164,1148.5,13098,2183,211,2183,5831,6,3.2,1637320191,2660711016,575364243,860102480,246979324
9,3,34.5,29,19,26,17,1058.5,913.5,2470,494,107,494,2024,5,3.4,1637320191,2660711016,575364243,860102480,246979324
10,3,34.5,30,24,29,13,1058.5,942.5,2784,696,119,696,2074,4,3.4,1637320191,2660711016,575364243,860102480,246979324
11,2,69.5,75,58,62,70,947,1232.5,64728,3596,310,3596,20396,18,3.9,1637320191,2660711016,575364243,860102480,246979324
12,2,63.5,63.5,52,44,54,947,1067,32032,2288,246,2288,12656,14,3.9,1637320191,2660711016,575364243,860102480,246979324
13,1,44.5,31,25,18,16,1112.5,1148.5,2250,450,102,450,1826,5,3.2,1637320191,2660711016,575364243,860102480,246979324
14,3,44.5,33.5,27,22,13,1112.5,1179.5,2376,594,111,594,1868,4,3.4,1637320191,2660711016,575364243,860102480,246979324
15,1,52.5,35,36,33,22,1155,966.5,8316,1188,160,1188,4224,7,3.2,1637320191,2660711016,575364243,860102480,246979324
16,2,52.5,51.5,42,39,50,1155,1001.5,21294,1638,212,1638,9738,13,3.9,1637320191,2660711016,575364243,860102480,246979324
17,5,62.5,35,57,16,12,947,979.5,2736,912,158,912,2664,3,4,1637320191,2660711016,575364243,860102480,246979324
18,1,62.5,38.5,43,36,22,947,1014.5,10836,1548,180,1548,5024,7,3.2,1637320191,2660711016,575364243,860102480,246979324
