ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,3,30.5,31,16,20,27,1126.9999999999998,1132.5,2560,320,99,320,2264,8,3.4,732837323,74563416,1082979192,500800699,89168384
2,3,30.5,41.5,25,35,34,1126.9999999999998,1163.5,8750,875,154,875,4955,10,3.4,732837323,74563416,1082979192,500800699,89168384
3,5,63.99999999999977,33,63,27,12,1048,1192,5103,1701,192,1701,3861,3,4,732837323,74563416,1082979192,500800699,89168384
4,3,28,19,19,18,13,1048,1225,1368,342,87,342,1304,4,3.4,732837323,74563416,1082979192,500800699,89168384
5,3,28,23.5,24,16,27,1048,1244,3072,384,107,384,2544,8,3.4,732837323,74563416,1082979192,500800699,89168384
6,3,35.99999999999977,42.5,21,37,13,1076,1225,3108,777,129,777,2285,4,3.4,732837323,74563416,1082979192,500800699,89168384
7,3,25,28,11,23,13,908,1286.5,1012,253,81,253,1137,4,3.4,732837323,74563416,1082979192,500800699,89168384
8,3,19,28,18,27,13,933,1286.5,1944,486,103,486,1656,4,3.4,732837323,74563416,1082979192,500800699,89168384
9,3,22,26,11,23,13,908,1314.5,1012,253,81,253,1137,4,3.4,732837323,74563416,1082979192,500800699,89168384
10,3,22,26,19,22,27,930,1314.5,3344,418,109,418,2632,8,3.4,732837323,74563416,1082979192,500800699,89168384
11,3,21,23,18,22,13,908,1340.5,1584,396,93,396,1436,4,3.4,732837323,74563416,1082979192,500800699,89168384
12,3,23,23,17,20,17,929,1340.5,1700,340,91,340,1598,5,3.4,732837323,74563416,1082979192,500800699,89168384
13,3,44,30.5,27,29,17,908,1363.5,3915,783,129,783,2687,5,3.4,732837323,74563416,1082979192,500800699,89168384
14,3,22,38,20,36,23,1164.4999999999998,1132.5,5040,720,135,720,3296,7,3.4,732837323,74563416,1082979192,500800699,89168384
15,3,26.500000000000227,38,17,26,27,1186.4999999999998,1132.5,3536,442,113,442,2764,8,3.4,732837323,74563416,1082979192,500800699,89168384
16,3,48.50000000000023,34.5,31,28,23,1164.4999999999998,1170.5,6076,868,141,868,3582,7,3.4,732837323,74563416,1082979192,500800699,89168384
17,3,28,29.5,12,26,23,967,1238,2184,312,99,312,2060,7,3.4,732837323,74563416,1082979192,500800699,89168384
18,3,17,26,12,17,20,995,1213,1224,204,78,204,1364,6,3.4,732837323,74563416,1082979192,500800699,89168384
19,3,21,26,20,18,23,1012,1213,2520,360,99,360,2108,7,3.4,732837323,74563416,1082979192,500800699,89168384
20,3,38,28.5,22,23,13,995,1239,2024,506,103,506,1676,4,3.4,732837323,74563416,1082979192,500800699,89168384
21,1,51,51,32,39,16,901,927,6240,1248,158,1248,3520,5,3.2,732837323,74563416,1082979192,500800699,89168384
22,3,26,39.5,11,23,13,901,978,1012,253,81,253,1137,4,3.4,732837323,74563416,1082979192,500800699,89168384
23,1,25,39.5,24,26,19,927,978,3744,624,119,624,2524,6,3.2,732837323,74563416,1082979192,500800699,89168384
24,1,29.999999999999773,52.5,25,41,25,1082,1132.5,8200,1025,157,1025,4325,8,3.2,732837323,74563416,1082979192,500800699,89168384
25,1,30,26,29,23,25,1048,1011.5,5336,667,129,667,3267,8,3.2,732837323,74563416,1082979192,500800699,89168384
26,1,30,25.5,23,21,16,1048,1037.5,2415,483,104,483,1891,5,3.2,732837323,74563416,1082979192,500800699,89168384
27,3,47,37.5,29,19,13,1126.9999999999998,927,2204,551,109,551,1799,4,3.4,732837323,74563416,1082979192,500800699,89168384
28,1,39.00000000000023,37.5,38,19,22,1173.9999999999998,927,5054,722,136,722,3230,7,3.2,732837323,74563416,1082979192,500800699,89168384
29,5,66,38,63,26,8,967,1034.5,3276,1638,186,1638,3062,2,4,732837323,74563416,1082979192,500800699,89168384
30,3,35,40.5,32,21,13,998,1072.5,2688,672,119,672,2050,4,3.4,732837323,74563416,1082979192,500800699,89168384
31,2,40.5,78.5,23,65,66,1227,927,25415,1495,242,1495,13111,17,3.9,732837323,74563416,1082979192,500800699,89168384
32,3,48,44,34,28,13,1126.9999999999998,971.5,3808,952,137,952,2564,4,3.4,732837323,74563416,1082979192,500800699,89168384
33,3,38.00000000000023,22,24,20,20,1174.9999999999998,971.5,2880,480,108,480,2240,6,3.4,732837323,74563416,1082979192,500800699,89168384
34,3,38.00000000000023,22,21,17,20,1174.9999999999998,993.5,2142,357,96,357,1877,6,3.4,732837323,74563416,1082979192,500800699,89168384
35,1,29,26,23,21,16,967,927,2415,483,104,483,1891,5,3.2,732837323,74563416,1082979192,500800699,89168384
36,3,29,27.5,16,23,13,967,953,1472,368,91,368,1382,4,3.4,732837323,74563416,1082979192,500800699,89168384
37,3,18,28,9,25,17,996,927,1125,225,85,225,1381,5,3.4,732837323,74563416,1082979192,500800699,89168384
38,3,19,28,10,18,17,1014,927,900,180,73,180,1132,5,3.4,732837323,74563416,1082979192,500800699,89168384
39,3,37,25.5,28,20,17,996,955,2800,560,113,560,2192,5,3.4,732837323,74563416,1082979192,500800699,89168384
40,1,18,38,16,19,16,967,1286.5,1520,304,86,304,1424,5,3.2,732837323,74563416,1082979192,500800699,89168384
41,3,20,38,9,35,13,985,1286.5,1260,315,101,315,1459,4,3.4,732837323,74563416,1082979192,500800699,89168384
42,3,28,38,27,19,27,1005,1286.5,4104,513,119,513,2997,8,3.4,732837323,74563416,1082979192,500800699,89168384
43,4,36,52.5,21,42,39,967,1324.5,11466,882,165,882,5796,13,3,732837323,74563416,1082979192,500800699,89168384
