ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,3,27,25,22,17,34,1248,908,3740,374,112,374,3026,10,3.4,434324789,4007629107,236564053,1411431657,48076600
2,3,21.5,25,13,18,27,1275,908,1872,234,89,234,1908,8,3.4,434324789,4007629107,236564053,1411431657,48076600
3,4,48.5,39,29,28,78,1248,933,21112,812,192,812,9704,26,3,434324789,4007629107,236564053,1411431657,48076600
4,4,28,37,17,25,78,976.4999999999999,908,11050,425,162,425,6977,26,3,434324789,4007629107,236564053,1411431657,48076600
5,4,28.500000000000114,37,17,25,78,1004.4999999999999,908,11050,425,162,425,6977,26,3,434324789,4007629107,236564053,1411431657,48076600
6,1,56.500000000000114,27,40,25,28,976.4999999999999,945,9000,1000,158,1000,4640,9,3.2,434324789,4007629107,236564053,1411431657,48076600
7,1,23,33,15,24,35,1099.5,986.5,3960,360,113,360,3090,11,3.2,434324789,4007629107,236564053,1411431657,48076600
8,3,23,33,8,32,34,1122.5,986.5,2560,256,114,256,2976,10,3.4,434324789,4007629107,236564053,1411431657,48076600
9,1,20,38.5,15,28,28,1099.5,1019.5,3780,420,114,420,2828,9,3.2,434324789,4007629107,236564053,1411431657,48076600
10,1,26,38.5,24,36,35,1119.5,1019.5,9504,864,155,864,5064,11,3.2,434324789,4007629107,236564053,1411431657,48076600
11,1,52.5,37,41,30,32,1135.5,1259.5,12300,1230,174,1230,5774,10,3.2,434324789,4007629107,236564053,1411431657,48076600
12,1,52.5,35.5,36,22,35,1135.5,1296.5,8712,792,151,792,4852,11,3.2,434324789,4007629107,236564053,1411431657,48076600
13,2,38,72.5,23,62,105,1195,1259.5,38502,1426,275,1426,19276,27,3.9,434324789,4007629107,236564053,1411431657,48076600
14,3,22,35,20,24,34,926.9999999999999,1065,4800,480,122,480,3472,10,3.4,434324789,4007629107,236564053,1411431657,48076600
15,4,31.5,35,20,24,63,948.9999999999999,1065,10080,480,151,480,6024,21,3,434324789,4007629107,236564053,1411431657,48076600
16,3,23,25.5,19,17,34,926.9999999999999,1100,3230,323,106,323,2771,10,3.4,434324789,4007629107,236564053,1411431657,48076600
17,3,30.5,25.5,22,17,34,949.9999999999999,1100,3740,374,112,374,3026,10,3.4,434324789,4007629107,236564053,1411431657,48076600
18,2,45.5,71.5,29,59,93,1047,986.5,41064,1711,269,1711,18079,24,3.9,434324789,4007629107,236564053,1411431657,48076600
19,5,94.5,51.5,92,35,8,1047,1065,6440,3220,262,3220,5252,2,4,434324789,4007629107,236564053,1411431657,48076600
20,2,80.5,71.5,66,61,113,1152.5,986.5,116754,4026,367,4026,32728,29,3.9,434324789,4007629107,236564053,1411431657,48076600
21,2,49.500000000000114,64.5,37,48,58,983.4999999999999,1188,26640,1776,228,1776,11636,15,3.9,434324789,4007629107,236564053,1411431657,48076600
22,5,84.5,39.5,72,29,8,1148.5,1065,4176,2088,210,2088,3704,2,4,434324789,4007629107,236564053,1411431657,48076600
23,2,34,64,22,50,113,1159.5,908,31900,1100,257,1100,17372,29,3.9,434324789,4007629107,236564053,1411431657,48076600
24,2,39.5,64,24,52,89,1193.5,908,28704,1248,241,1248,14776,23,3.9,434324789,4007629107,236564053,1411431657,48076600
25,3,40.5,30.5,21,24,34,1135.5,1222,5040,504,124,504,3564,10,3.4,434324789,4007629107,236564053,1411431657,48076600
26,2,48,64,35,46,113,1104.5,908,46690,1610,275,1610,19916,29,3.9,434324789,4007629107,236564053,1411431657,48076600
27,3,44.5,32,26,16,34,1248,1188,4160,416,118,416,3272,10,3.4,434324789,4007629107,236564053,1411431657,48076600
28,4,44.5,42.5,29,27,72,1248,1220,18792,783,184,783,8847,24,3,434324789,4007629107,236564053,1411431657,48076600
29,4,49.5,38,30,25,69,926.9999999999999,986.5,17250,750,179,750,8340,23,3,434324789,4007629107,236564053,1411431657,48076600
30,3,20,33.5,8,21,34,926.9999999999999,1024.5,1680,168,92,168,2140,10,3.4,434324789,4007629107,236564053,1411431657,48076600
31,3,29.5,33.5,13,17,34,946.9999999999999,1024.5,2210,221,94,221,2261,10,3.4,434324789,4007629107,236564053,1411431657,48076600
32,1,59.500000000000114,30,40,29,28,973.4999999999999,1259.5,10440,1160,166,1160,5024,9,3.2,434324789,4007629107,236564053,1411431657,48076600
33,3,23,24,13,21,23,973.4999999999999,1289.5,1911,273,91,273,1837,7,3.4,434324789,4007629107,236564053,1411431657,48076600
34,1,23,18.5,13,18,25,973.4999999999999,1313.5,1872,234,87,234,1784,8,3.2,434324789,4007629107,236564053,1411431657,48076600
35,4,36.500000000000114,42.5,19,29,78,996.4999999999999,1289.5,14326,551,174,551,8039,26,3,434324789,4007629107,236564053,1411431657,48076600
36,5,57,41,54,34,12,926.9999999999999,1132.5,5508,1836,188,1836,3948,3,4,434324789,4007629107,236564053,1411431657,48076600
37,4,49.000000000000114,41,30,29,81,983.9999999999999,1132.5,23490,870,199,870,10428,27,3,434324789,4007629107,236564053,1411431657,48076600
38,2,45.500000000000114,60.5,29,46,117,987.4999999999999,1065,40020,1334,267,1334,18884,30,3.9,434324789,4007629107,236564053,1411431657,48076600
39,1,21,23,13,18,25,1047,1254.5,1872,234,87,234,1784,8,3.2,434324789,4007629107,236564053,1411431657,48076600
