ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,4,38,35,23,24,45,988.9999999999999,986.5,8280,552,139,552,4782,15,3,862434604,937313625,1018302456,507319240,148704570
2,3,38,27.5,28,26,27,988.9999999999999,1021.5,5824,728,135,728,3644,8,3.4,862434604,937313625,1018302456,507319240,148704570
3,1,46.500000000000114,62.5,38,54,32,1027,986.5,20520,2052,216,2052,7940,10,3.2,862434604,937313625,1018302456,507319240,148704570
4,5,64.5,42,54,34,8,1168.5,1061,3672,1836,184,1836,3244,2,4,862434604,937313625,1018302456,507319240,148704570
5,3,31,30.5,25,19,17,1168.5,1103,2375,475,105,475,1971,5,3.4,862434604,937313625,1018302456,507319240,148704570
6,3,15,30.5,9,23,20,1199.5,1103,1242,207,84,207,1487,6,3.4,862434604,937313625,1018302456,507319240,148704570
7,3,18.5,30.5,18,19,13,1214.5,1103,1368,342,87,342,1304,4,3.4,862434604,937313625,1018302456,507319240,148704570
8,3,35.000000000000114,34,19,26,20,1038.5,1056,2964,494,110,494,2294,6,3.4,862434604,937313625,1018302456,507319240,148704570
9,1,35.000000000000114,43.5,17,39,16,1038.5,1090,3315,663,128,663,2455,5,3.2,862434604,937313625,1018302456,507319240,148704570
10,4,33,39.5,17,24,60,1087,1194,8160,408,142,408,5328,20,3,862434604,937313625,1018302456,507319240,148704570
11,3,25,39.5,10,22,20,1120,1194,1320,220,84,220,1500,6,3.4,862434604,937313625,1018302456,507319240,148704570
12,3,25.5,20,25,19,20,1145,1194,2850,475,108,475,2235,6,3.4,862434604,937313625,1018302456,507319240,148704570
13,3,25.5,19.5,12,19,17,1145,1214,1140,228,79,228,1282,5,3.4,862434604,937313625,1018302456,507319240,148704570
14,1,55.5,42,40,39,12,926.4999999999999,1053,6240,1560,170,1560,3456,4,3.2,862434604,937313625,1018302456,507319240,148704570
15,5,55.5,38.5,52,20,8,926.4999999999999,1095,2080,1040,152,1040,2192,2,4,862434604,937313625,1018302456,507319240,148704570
16,4,42,40.5,27,25,42,1087,1146.5,9450,675,146,675,5043,14,3,862434604,937313625,1018302456,507319240,148704570
17,4,41.5,40.5,27,28,66,1129,1146.5,16632,756,176,756,8016,22,3,862434604,937313625,1018302456,507319240,148704570
18,1,55.5,59.5,40,56,12,926.4999999999999,986.5,8960,2240,204,2240,4544,4,3.2,862434604,937313625,1018302456,507319240,148704570
19,3,20,31,11,19,17,997.9999999999999,914,1045,209,77,209,1229,5,3.4,862434604,937313625,1018302456,507319240,148704570
20,3,20,31,15,25,17,1017.9999999999999,914,1875,375,97,375,1735,5,3.4,862434604,937313625,1018302456,507319240,148704570
21,3,18,28.5,14,24,20,1019.9999999999999,945,2016,336,96,336,1856,6,3.4,862434604,937313625,1018302456,507319240,148704570
22,3,35.500000000000114,34.5,31,27,17,1038,939,4185,837,133,837,2809,5,3.4,862434604,937313625,1018302456,507319240,148704570
23,2,66.5,50,53,36,62,926.4999999999999,1146.5,30528,1908,240,1908,12944,16,3.9,862434604,937313625,1018302456,507319240,148704570
24,3,27,37,8,20,13,926.4999999999999,1196.5,640,160,69,160,888,4,3.4,862434604,937313625,1018302456,507319240,148704570
25,1,22,37,16,18,16,953.4999999999999,1196.5,1440,288,84,288,1376,5,3.2,862434604,937313625,1018302456,507319240,148704570
26,3,17.5,37,10,32,17,975.4999999999999,1196.5,1600,320,101,320,1748,5,3.4,862434604,937313625,1018302456,507319240,148704570
