ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,1,50.5,58.5,38,52,16,1167,1169,9880,1976,196,1976,4856,5,3.2,2731920463,2779105989,608630478,488417864,578991394
2,1,48.5,69.5,40,60,32,1224.5,1092.5,24000,2400,232,2400,8800,10,3.2,2731920463,2779105989,608630478,488417864,578991394
3,3,37.5,40,25,29,13,1067,928,2900,725,121,725,2129,4,3.4,2731920463,2779105989,608630478,488417864,578991394
4,4,37.5,40,26,24,48,958.5,1247,9984,624,148,624,5424,16,3,2731920463,2779105989,608630478,488417864,578991394
5,1,37.5,29.5,26,22,16,958.5,1287,2860,572,112,572,2108,5,3.2,2731920463,2779105989,608630478,488417864,578991394
6,1,45,24,34,22,16,952.5,1092.5,3740,748,128,748,2540,5,3.2,2731920463,2779105989,608630478,488417864,578991394
7,3,45,30.5,26,16,13,952.5,1116.5,1664,416,97,416,1508,4,3.4,2731920463,2779105989,608630478,488417864,578991394
8,1,55.5,54.5,38,51,12,997.5,1092.5,7752,1938,190,1938,4074,4,3.2,2731920463,2779105989,608630478,488417864,578991394
9,1,48.5,58.5,29,52,16,1224.5,1169,7540,1508,178,1508,4100,5,3.2,2731920463,2779105989,608630478,488417864,578991394
10,1,41.5,73.5,29,57,16,952.5,1154,8265,1653,188,1653,4405,5,3.2,2731920463,2779105989,608630478,488417864,578991394
11,2,75.5,73.5,63,56,42,977.5,998.5,38808,3528,280,3528,13524,11,3.9,2731920463,2779105989,608630478,488417864,578991394
12,1,52,73.5,40,61,19,1001,1154,14640,2440,221,2440,6278,6,3.2,2731920463,2779105989,608630478,488417864,578991394
13,1,43.5,60.5,31,47,12,1167,1247,5828,1457,168,1457,3329,4,3.2,2731920463,2779105989,608630478,488417864,578991394
14,1,46,55.5,37,48,16,1167,1016.5,8880,1776,186,1776,4496,5,3.2,2731920463,2779105989,608630478,488417864,578991394
15,5,60,55.5,53,36,8,1213,1016.5,3816,1908,186,1908,3332,2,4,2731920463,2779105989,608630478,488417864,578991394
16,1,50,69.5,32,54,16,1003,1247,8640,1728,188,1728,4480,5,3.2,2731920463,2779105989,608630478,488417864,578991394
17,1,45,69.5,38,58,16,925.5,928,11020,2204,208,2204,5276,5,3.2,2731920463,2779105989,608630478,488417864,578991394
18,2,86,52.5,68,41,54,1067,1092.5,39032,2788,272,2788,14560,14,3.9,2731920463,2779105989,608630478,488417864,578991394
19,1,47,67.5,30,54,16,923.5,1004.5,8100,1620,184,1620,4308,5,3.2,2731920463,2779105989,608630478,488417864,578991394
20,3,42.5,35,23,28,13,1067,1152,2576,644,115,644,1970,4,3.4,2731920463,2779105989,608630478,488417864,578991394
21,1,42.5,40.5,39,24,16,1067,1187,4680,936,142,936,2952,5,3.2,2731920463,2779105989,608630478,488417864,578991394
22,1,36.5,75.5,28,62,16,1116.5,1152,8680,1736,196,1736,4616,5,3.2,2731920463,2779105989,608630478,488417864,578991394
23,1,50.5,69.5,42,51,25,1167,1092.5,17136,2142,211,2142,6792,8,3.2,2731920463,2779105989,608630478,488417864,578991394
24,3,41,28,25,17,13,1067,1016.5,1700,425,97,425,1517,4,3.4,2731920463,2779105989,608630478,488417864,578991394
