Type,Floor_Area,WLC_MtCO2e,Lot_Coverage,FSR
1,391825,1.13490107,194528.25000000006,3.1171625924577895
2,87783,0.262061094,19924.5,7.002752183798013
3,609708,1.43393562,365094.75000000006,2.5119938200077243
4,51593,0.123917896,12168.5,5.982837594944049
5,76209,0.141208722,85805.50000000001,1.4356438441323571
