Type,Floor_Area,WLC_MtCO2e,Lot_Coverage,FSR
1,54225,0.157168971,22505.0,3.683012972899545
2,357820,1.071312891,56596.25,9.793293146035895
3,132002,0.309666259,53184.75,3.7017085088930797
4,459391,1.102277156,83657.5,7.764639268480254
5,162124,0.299744708,171485.5,1.5263254517809985
