ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,2,66,49.5,51,38,113,1087,1226.5,56202,1938,291,1938,22052,29,3.9,125741802,4035091719,230486274,1317536576,151141076
2,5,75,34.5,64,30,8,1172.5,1066.5,3840,1920,196,1920,3424,2,4,125741802,4035091719,230486274,1317536576,151141076
3,4,44,45.5,29,29,66,1172.5,926.5,18502,841,182,841,8497,22,3,125741802,4035091719,230486274,1317536576,151141076
4,4,31,45.5,19,28,78,1216.5,926.5,13832,532,172,532,7864,26,3,125741802,4035091719,230486274,1317536576,151141076
5,3,46,30,33,18,34,926.9999999999999,1183.5,5940,594,136,594,4062,10,3.4,125741802,4035091719,230486274,1317536576,151141076
6,3,35.5,30,30,16,34,972.9999999999999,1183.5,4800,480,126,480,3608,10,3.4,125741802,4035091719,230486274,1317536576,151141076
7,4,36,34.5,17,24,45,990.4999999999999,937.5,6120,408,127,408,4098,15,3,125741802,4035091719,230486274,1317536576,151141076
8,4,46.500000000000114,34.5,30,24,81,1026.5,937.5,19440,720,189,720,9468,27,3,125741802,4035091719,230486274,1317536576,151141076
9,4,32,64,18,47,63,1172.5,988,17766,846,193,846,9036,21,3,125741802,4035091719,230486274,1317536576,151141076
10,3,43,25,31,20,27,1204.5,988,4960,620,129,620,3374,8,3.4,125741802,4035091719,230486274,1317536576,151141076
11,3,43,39,28,27,34,1204.5,1013,7560,756,144,756,4496,10,3.4,125741802,4035091719,230486274,1317536576,151141076
12,4,32,56.5,19,43,69,1008.4999999999999,1066.5,18791,817,193,817,9373,23,3,125741802,4035091719,230486274,1317536576,151141076
13,3,32.500000000000114,25,22,19,34,1040.5,1066.5,4180,418,116,418,3206,10,3.4,125741802,4035091719,230486274,1317536576,151141076
14,3,32.500000000000114,31.5,31,24,34,1040.5,1091.5,7440,744,144,744,4484,10,3.4,125741802,4035091719,230486274,1317536576,151141076
15,4,48,46.5,29,28,63,926.9999999999999,1130,17052,812,177,812,7994,21,3,125741802,4035091719,230486274,1317536576,151141076
16,4,33.5,46.5,21,29,66,974.9999999999999,1130,13398,609,166,609,7209,22,3,125741802,4035091719,230486274,1317536576,151141076
17,2,34,50.5,22,38,97,926.9999999999999,1283,20900,836,217,836,12476,25,3.9,125741802,4035091719,230486274,1317536576,151141076
18,2,66.50000000000011,47.5,52,35,117,1006.4999999999999,1226.5,54600,1820,291,1820,22178,30,3.9,125741802,4035091719,230486274,1317536576,151141076
19,2,66.50000000000011,64,51,45,89,1006.4999999999999,988,52785,2295,281,2295,19383,23,3.9,125741802,4035091719,230486274,1317536576,151141076
