ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,5,66.5,41,66,25,8,1221,1131,3300,1650,190,1650,3106,2,4,798756578,3500072907,315438834,1011689676,360625562
2,1,53.5,57,34,51,28,1152.5,951,15606,1734,198,1734,6494,9,3.2,798756578,3500072907,315438834,1011689676,360625562
3,3,53.5,39.5,34,37,34,1152.5,1008,12580,1258,176,1258,6086,10,3.4,798756578,3500072907,315438834,1011689676,360625562
4,5,86,33,81,27,8,967,1120,4374,2187,224,2187,3915,2,4,798756578,3500072907,315438834,1011689676,360625562
5,5,67,31,65,19,12,1066.5,1267,3705,1235,180,1235,3251,3,4,798756578,3500072907,315438834,1011689676,360625562
6,5,67,42.5,57,28,12,1066.5,1298,4788,1596,182,1596,3636,3,4,798756578,3500072907,315438834,1011689676,360625562
7,4,43,35,30,24,48,1010,1218.5,11520,720,156,720,5904,16,3,798756578,3500072907,315438834,1011689676,360625562
8,4,31,50.5,17,37,66,1152.5,1066.5,13838,629,174,629,7757,22,3,798756578,3500072907,315438834,1011689676,360625562
9,3,30.5,50.5,18,37,13,1183.5,1066.5,2664,666,123,666,2096,4,3.4,798756578,3500072907,315438834,1011689676,360625562
10,5,86,51.5,68,35,12,967,1160,7140,2380,218,2380,4852,3,4,798756578,3500072907,315438834,1011689676,360625562
11,4,28,44,16,28,42,1066.5,1121,6272,448,130,448,4144,14,3,798756578,3500072907,315438834,1011689676,360625562
12,4,39,44,20,30,39,1094.5,1121,7800,600,139,600,4500,13,3,798756578,3500072907,315438834,1011689676,360625562
13,1,55.5,39,38,21,19,1152.5,1267,4788,798,137,798,3040,6,3.2,798756578,3500072907,315438834,1011689676,360625562
14,3,28,43.5,15,25,30,1152.5,1306,3375,375,110,375,2775,9,3.4,798756578,3500072907,315438834,1011689676,360625562
15,4,27.5,43.5,17,33,60,1180.5,1306,11220,561,160,561,6561,20,3,798756578,3500072907,315438834,1011689676,360625562
16,5,67,50.5,58,35,12,1066.5,947,6090,2030,198,2030,4262,3,4,798756578,3500072907,315438834,1011689676,360625562
17,5,72.5,33,53,15,8,1215,1267,1590,795,144,795,1883,2,4,798756578,3500072907,315438834,1011689676,360625562
18,5,74.5,38,57,28,12,1213,1009.5,4788,1596,182,1596,3636,3,4,798756578,3500072907,315438834,1011689676,360625562
19,5,67,43,53,26,8,1066.5,1004.5,2756,1378,166,1378,2642,2,4,798756578,3500072907,315438834,1011689676,360625562
20,4,41.5,40,26,27,54,967,1267,12636,702,160,702,6426,18,3,798756578,3500072907,315438834,1011689676,360625562
