ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,1,35,20,23,19,32,1231,1056,4370,437,116,437,3125,10,3.2,732964290,4794981519,310641580,1314303047,68648234
2,3,35,19,23,16,34,1231,1076,3680,368,112,368,3020,10,3.4,732964290,4794981519,310641580,1314303047,68648234
3,4,27.5,39,17,28,78,1266,1056,12376,476,168,476,7496,26,3,732964290,4794981519,310641580,1314303047,68648234
4,1,62.5,32.5,43,30,35,1231,1095,14190,1290,181,1290,6400,11,3.2,732964290,4794981519,310641580,1314303047,68648234
5,2,35,55.5,24,37,109,907,1227,24864,888,231,888,14186,28,3.9,732964290,4794981519,310641580,1314303047,68648234
6,4,31,55.5,17,41,69,942,1227,16031,697,185,697,8701,23,3,732964290,4794981519,310641580,1314303047,68648234
7,2,83.5,66,65,55,117,1146.5,1147,107250,3575,357,3575,31655,30,3.9,732964290,4794981519,310641580,1314303047,68648234
8,2,66,60.5,55,43,109,907,992.5,66220,2365,305,2365,23729,28,3.9,732964290,4794981519,310641580,1314303047,68648234
9,2,58.5,55.5,48,38,113,1146.5,916.5,52896,1824,285,1824,21260,29,3.9,732964290,4794981519,310641580,1314303047,68648234
10,3,33,30,25,17,20,1019,1066,2550,425,104,425,2105,6,3.4,732964290,4794981519,310641580,1314303047,68648234
11,1,33,31.5,24,28,32,1019,1096,6720,672,136,672,4000,10,3.2,732964290,4794981519,310641580,1314303047,68648234
12,2,40,74.5,22,64,81,1146.5,1053,29568,1408,253,1408,15340,21,3.9,732964290,4794981519,310641580,1314303047,68648234
13,1,37.5,29,32,23,32,1186.5,1053,7360,736,142,736,4256,10,3.2,732964290,4794981519,310641580,1314303047,68648234
14,1,37.5,19,31,18,35,1186.5,1082,6138,558,133,558,3988,11,3.2,732964290,4794981519,310641580,1314303047,68648234
15,3,37.5,26.5,18,25,30,1186.5,1101,4050,450,116,450,3030,9,3.4,732964290,4794981519,310641580,1314303047,68648234
16,2,56.5,66,45,51,113,1237,1147,66555,2295,305,2295,23991,29,3.9,732964290,4794981519,310641580,1314303047,68648234
17,4,37,43,22,30,69,988,1227,15180,660,173,660,7836,23,3,732964290,4794981519,310641580,1314303047,68648234
18,1,27,43,23,24,32,1025,1227,5520,552,126,552,3560,10,3.2,732964290,4794981519,310641580,1314303047,68648234
19,4,36,40.5,21,30,75,988,1270,15750,630,177,630,8280,25,3,732964290,4794981519,310641580,1314303047,68648234
20,4,28,40.5,16,25,81,1024,1270,10800,400,163,400,7042,27,3,732964290,4794981519,310641580,1314303047,68648234
21,4,37,39,20,26,75,988,1147,13000,520,167,520,7420,25,3,732964290,4794981519,310641580,1314303047,68648234
22,4,27,39,16,25,81,1025,1147,10800,400,163,400,7042,27,3,732964290,4794981519,310641580,1314303047,68648234
23,5,64,27,58,18,8,988,1186,2088,1044,160,1044,2260,2,4,732964290,4794981519,310641580,1314303047,68648234
24,2,66,83.5,50,72,89,907,1289.5,82800,3600,333,3600,25316,23,3.9,732964290,4794981519,310641580,1314303047,68648234
25,4,29,47,18,35,72,1068,1292.5,15120,630,178,630,8262,24,3,732964290,4794981519,310641580,1314303047,68648234
26,4,35,47,21,30,75,1097,1292.5,15750,630,177,630,8280,25,3,732964290,4794981519,310641580,1314303047,68648234
27,3,27,33.5,14,17,30,1068,1339.5,2142,238,92,238,2098,9,3.4,732964290,4794981519,310641580,1314303047,68648234
28,1,37,33.5,23,21,32,1095,1339.5,4830,483,120,483,3299,10,3.2,732964290,4794981519,310641580,1314303047,68648234
29,3,35,32,20,20,30,1068,992.5,3600,400,110,400,2800,9,3.4,732964290,4794981519,310641580,1314303047,68648234
30,3,35,27.5,17,25,27,1068,1024.5,3400,425,111,425,2693,8,3.4,732964290,4794981519,310641580,1314303047,68648234
31,1,29,33,19,28,32,1103,992.5,5320,532,126,532,3540,10,3.2,732964290,4794981519,310641580,1314303047,68648234
32,3,29,26.5,20,17,34,1103,1025.5,3400,340,108,340,2856,10,3.4,732964290,4794981519,310641580,1314303047,68648234
33,3,32,28,17,25,27,1231,992.5,3400,425,111,425,2693,8,3.4,732964290,4794981519,310641580,1314303047,68648234
34,3,32,28.5,25,20,30,1231,1020.5,4500,500,120,500,3200,9,3.4,732964290,4794981519,310641580,1314303047,68648234
35,4,30.5,56.5,16,42,78,1263,992.5,17472,672,194,672,9720,26,3,732964290,4794981519,310641580,1314303047,68648234
36,3,29,29,20,19,27,907,1147,3040,380,105,380,2486,8,3.4,732964290,4794981519,310641580,1314303047,68648234
37,4,29,37,18,26,78,907,1176,12168,468,166,468,7332,26,3,732964290,4794981519,310641580,1314303047,68648234
38,2,37,66,26,54,113,936,1147,40716,1404,273,1404,19484,29,3.9,732964290,4794981519,310641580,1314303047,68648234
39,5,64,26,62,20,12,1068,1147,3720,1240,176,1240,3208,3,4,732964290,4794981519,310641580,1314303047,68648234
40,5,64,40,56,31,8,1068,1173,3472,1736,182,1736,3128,2,4,732964290,4794981519,310641580,1314303047,68648234
41,1,31,69.5,27,52,35,1221,1227,15444,1404,193,1404,6934,11,3.2,732964290,4794981519,310641580,1314303047,68648234
42,3,19,30,17,28,30,1252,1227,4284,476,120,476,3176,9,3.4,732964290,4794981519,310641580,1314303047,68648234
43,1,22.5,30,16,20,32,1271,1227,3200,320,104,320,2624,10,3.2,732964290,4794981519,310641580,1314303047,68648234
44,4,41.5,39.5,24,24,78,1252,1257,14976,576,174,576,8064,26,3,732964290,4794981519,310641580,1314303047,68648234
45,2,77.5,53.5,64,37,105,1146.5,992.5,63936,2368,307,2368,23578,27,3.9,732964290,4794981519,310641580,1314303047,68648234
46,3,32,30,21,17,27,1146.5,1227,2856,357,103,357,2409,8,3.4,732964290,4794981519,310641580,1314303047,68648234
47,1,19,30,17,26,32,1178.5,1227,4420,442,118,442,3194,10,3.2,732964290,4794981519,310641580,1314303047,68648234
48,3,16.5,30,12,18,34,1197.5,1227,2160,216,94,216,2256,10,3.4,732964290,4794981519,310641580,1314303047,68648234
49,4,38,43.5,22,32,78,1146.5,1257,18304,704,186,704,9128,26,3,732964290,4794981519,310641580,1314303047,68648234
50,3,29.5,23,17,20,34,1184.5,1257,3400,340,108,340,2856,10,3.4,732964290,4794981519,310641580,1314303047,68648234
51,3,29.5,20.5,26,20,34,1184.5,1280,5200,520,126,520,3648,10,3.4,732964290,4794981519,310641580,1314303047,68648234
52,2,66,67.5,49,56,54,907,1060,38416,2744,264,2744,14084,14,3.9,732964290,4794981519,310641580,1314303047,68648234
53,1,31,29,17,28,25,988,992.5,3808,476,115,476,2726,8,3.2,732964290,4794981519,310641580,1314303047,68648234
54,3,33,29,19,28,34,1019,992.5,5320,532,128,532,3728,10,3.4,732964290,4794981519,310641580,1314303047,68648234
55,5,64,37.5,62,27,12,988,1021.5,5022,1674,190,1674,3810,3,4,732964290,4794981519,310641580,1314303047,68648234
56,2,64,58.5,49,44,117,1068,1227,64680,2156,303,2156,23918,30,3.9,732964290,4794981519,310641580,1314303047,68648234
57,5,64,34,62,20,12,1068,1059,3720,1240,176,1240,3208,3,4,732964290,4794981519,310641580,1314303047,68648234
58,5,64,34.5,60,26,12,1068,1093,4680,1560,184,1560,3624,3,4,732964290,4794981519,310641580,1314303047,68648234
59,4,38,35,19,24,75,907,900.5,11400,456,161,456,6906,25,3,732964290,4794981519,310641580,1314303047,68648234
60,4,28,35,17,24,63,945,900.5,8568,408,145,408,5574,21,3,732964290,4794981519,310641580,1314303047,68648234
61,4,37,36.5,18,26,78,907,935.5,12168,468,166,468,7332,26,3,732964290,4794981519,310641580,1314303047,68648234
62,4,29,36.5,18,26,78,944,935.5,12168,468,166,468,7332,26,3,732964290,4794981519,310641580,1314303047,68648234
63,4,31,35,19,24,75,988,894.5,11400,456,161,456,6906,25,3,732964290,4794981519,310641580,1314303047,68648234
64,1,33,35,29,18,25,1019,894.5,4176,522,119,522,2872,8,3.2,732964290,4794981519,310641580,1314303047,68648234
65,5,64,42.5,59,36,8,988,929.5,4248,2124,198,2124,3644,2,4,732964290,4794981519,310641580,1314303047,68648234
66,4,27,43,16,31,78,1068,888.5,12896,496,172,496,7828,26,3,732964290,4794981519,310641580,1314303047,68648234
67,4,37,43,26,25,81,1095,888.5,17550,650,183,650,8912,27,3,732964290,4794981519,310641580,1314303047,68648234
68,5,64,40.5,60,29,12,1068,931.5,5220,1740,190,1740,3876,3,4,732964290,4794981519,310641580,1314303047,68648234
69,4,32.5,46,19,27,72,1212,891.5,12312,513,164,513,7137,24,3,732964290,4794981519,310641580,1314303047,68648234
70,4,32.5,34.5,20,24,78,1212,937.5,12480,480,166,480,7344,26,3,732964290,4794981519,310641580,1314303047,68648234
71,4,39.5,35,26,24,60,853.5,1147,12480,624,160,624,6624,20,3,732964290,4794981519,310641580,1314303047,68648234
72,3,17,31,12,24,34,853.5,1182,2880,288,106,288,2736,10,3.4,732964290,4794981519,310641580,1314303047,68648234
73,3,22.5,31,12,20,27,870.5,1182,1920,240,91,240,1968,8,3.4,732964290,4794981519,310641580,1314303047,68648234
74,2,64,55.5,53,42,93,988,1317.5,53424,2226,283,2226,19896,24,3.9,732964290,4794981519,310641580,1314303047,68648234
75,4,32,65.5,17,46,48,1146.5,1307.5,12512,782,174,782,6830,16,3,732964290,4794981519,310641580,1314303047,68648234
76,4,35.5,37,24,24,78,1178.5,1307.5,14976,576,174,576,8064,26,3,732964290,4794981519,310641580,1314303047,68648234
77,1,35.5,28.5,26,22,32,1178.5,1344.5,5720,572,128,572,3644,10,3.2,732964290,4794981519,310641580,1314303047,68648234
78,2,72.5,69.5,59,50,113,1221,1303.5,85550,2950,331,2950,27584,29,3.9,732964290,4794981519,310641580,1314303047,68648234
79,1,54.5,44,35,30,32,838.5,828,10500,1050,162,1050,5210,10,3.2,732964290,4794981519,310641580,1314303047,68648234
80,1,54.5,33.5,37,25,35,838.5,872,10175,925,159,925,5265,11,3.2,732964290,4794981519,310641580,1314303047,68648234
81,1,57.5,32,39,20,32,835.5,912.5,7800,780,150,780,4556,10,3.2,732964290,4794981519,310641580,1314303047,68648234
82,1,57.5,27.5,39,22,25,835.5,944.5,6864,858,147,858,3908,8,3.2,732964290,4794981519,310641580,1314303047,68648234
83,2,66,65.5,49,49,117,907,828,72030,2401,313,2401,25333,30,3.9,732964290,4794981519,310641580,1314303047,68648234
84,2,64,59.5,49,44,117,988,828,64680,2156,303,2156,23918,30,3.9,732964290,4794981519,310641580,1314303047,68648234
85,2,64,53.5,53,38,109,1068,828,56392,2014,291,2014,21852,28,3.9,732964290,4794981519,310641580,1314303047,68648234
86,4,30,38,18,26,78,1146.5,828,12168,468,166,468,7332,26,3,732964290,4794981519,310641580,1314303047,68648234
87,4,28.5,38,18,26,78,1176.5,828,12168,468,166,468,7332,26,3,732964290,4794981519,310641580,1314303047,68648234
88,1,58.5,43.5,39,35,32,1146.5,866,13650,1365,180,1365,6101,10,3.2,732964290,4794981519,310641580,1314303047,68648234
89,2,41,56.5,29,46,117,1212,828,40020,1334,267,1334,18884,30,3.9,732964290,4794981519,310641580,1314303047,68648234
90,3,20,23,10,18,27,1253,828,1440,180,83,180,1692,8,3.4,732964290,4794981519,310641580,1314303047,68648234
91,3,20.5,23,15,18,27,1273,828,2160,270,93,270,2052,8,3.4,732964290,4794981519,310641580,1314303047,68648234
92,3,40.5,33.5,32,27,27,1253,851,6912,864,145,864,4050,8,3.4,732964290,4794981519,310641580,1314303047,68648234
93,1,38.5,27,23,21,32,1312.5,828,4830,483,120,483,3299,10,3.2,732964290,4794981519,310641580,1314303047,68648234
