Model_ID,Density_Factor,Height,Number_People,Land_Area_km2,WLC_MtCO2,Plot_Area_m2,Street_Area_m2,Green_Area_m2,NDLR_WLC,NDHR_WLC,DLR_WLC,DHR_WLC,HOUSE_WLC,NDLR_Total,NDHR_Total,DLR_Total,DHR_Total,HOUSE_Total
40,32.71,20.16,19957,1.042875,5.179514636,596960.75,374664.5,71249.75,1.945642975,1.560521451,0.72515855,0.411526746,0.536581484,93,17,83,14,59,
41,34.32,19.42,19957,1.016007,5.2425785975600006,614495.25,309800.25,91711.5,1.892214087,1.676065218,0.651859547,0.424300867,0.598057598,92,19,84,12,72,
42,31.75,18.13,20011,1.07844,4.9127458181999994,588984.25,350934.5,138521.25,1.880422114,1.353855546,0.680996617,0.411529902,0.585855364,84,14,87,11,83,
43,31.39,19.10,19960,1.204378,5.77863621424,656220.5,334857.25,213300.25000000003,1.841324578,2.269137087,0.860925341,0.156004694,0.651148164,76,20,120,7,84,
44,35.730000000000004,19.91,19951,1.296025,7.677453205,817215.25,386518.75,92291,2.983898139,3.020746962,0.532451514,0.329538258,0.81071465,119,25,76,12,96,
45,31.430000000000003,19.78,19953,1.382213,7.18717676504,754690.25,478587.00000000006,148935.74999999994,2.731920463,2.779105989,0.608630478,0.488417864,0.578991394,112,24,78,17,85,
46,30.78,19.65,19951,1.320734,6.46988246272,709885.25,433459.75,177389,2.536912272,2.260344039,0.709295232,0.388232479,0.574992782,106,21,91,13,66,
47,33.31,19.47,19963,1.163079,5.826509972319999,679748.5,369398,113932.5,2.095834537,2.056676007,0.654592505,0.374433821,0.644880056,95,20,73,13,78,
48,32.14,18.85,19985,1.180476,5.3056676420799995,651320,371815.5,157340.5,1.939622223,1.683755004,0.322634829,0.564562044,0.794999104,87,16,41,15,103,
49,30.930000000000003,20.73,19959,0.920999,4.29537008092,505927.75,261222.7499999999,153848.5000000001,1.143290073,1.472879754,0.557323184,0.636667818,0.485135572,59,16,70,18,51,
50,26.19,19.27,19981,1.37408,5.5898720943999995,617676.75,467444.75,288958.5,1.870896595,2.041604982,0.590932796,0.456038291,0.630289504,76,20,73,14,78,
51,33.85,19.68,20015,1.290959,6.82943974572,772736.25,437226,80996.75,2.579427476,2.575648773,0.727951476,0.217943646,0.728365098,119,25,73,8,87,
52,35.31,18.65,19951,1.333321,6.78750466568,801750.75,373482.25,158088,2.729837686,2.385047928,0.474917561,0.291253795,0.90634103,107,24,53,9,113,
53,32.4,19.81,19952,1.247752,6.1324723171599995,716978.25,434188.25,96585.5,2.422571487,2.040514785,0.738711358,0.240999135,0.689575732,101,24,82,10,83,
54,33.78,20.88,20025,1.115212,6.30446269596,664508.25,354935.5,95768.25,2.311311742,2.312351994,0.655612291,0.472882118,0.552215334,94,22,66,14,69,
55,28.77,18.71,19952,1.486451,5.91600889108,734065.75,487299.5,265085.75,2.281701732,1.959918366,0.328436789,0.336669054,1.009164034,89,19,39,10,123,
56,31.15,16.67,19951,1.304844,4.65010677652,693193.75,414615.75,197034.5,1.376243586,1.602673611,0.396204842,0.17775414,1.09712621,61,15,41,6,136,
57,29.26,19.62,19954,1.207477,5.15801183916,611315,371363.75,224798.25,1.573785625,1.905724083,0.370299417,0.552031836,0.75607428,60,20,47,13,89,
