ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,4,48,37,30,24,42,1226.5,922.5,10080,720,150,720,5256,14,3,711261135,2081351901,373016638,1248257925,69922272
2,3,48,32.5,32,17,27,1226.5,959.5,4352,544,125,544,3190,8,3.4,711261135,2081351901,373016638,1248257925,69922272
3,5,106,52.5,89,33,8,1047,1012.5,5874,2937,252,2937,4889,2,4,711261135,2081351901,373016638,1248257925,69922272
4,4,44.5,38,30,25,60,1047,1072,15000,750,170,750,7350,20,3,711261135,2081351901,373016638,1248257925,69922272
5,4,44.5,37.5,31,25,39,1047,1110,10075,775,151,775,5143,13,3,711261135,2081351901,373016638,1248257925,69922272
6,2,57.5,59.5,40,48,70,1208,1088,34560,1920,246,1920,14240,18,3.9,711261135,2081351901,373016638,1248257925,69922272
7,2,55.5,50,41,38,54,1167,1222,21812,1558,212,1558,10090,14,3.9,711261135,2081351901,373016638,1248257925,69922272
8,4,42.5,37.5,29,25,57,1167,1043.5,13775,725,165,725,6881,19,3,711261135,2081351901,373016638,1248257925,69922272
9,4,48.5,57,29,46,63,926.4999999999999,1288,28014,1334,213,1334,10784,21,3,711261135,2081351901,373016638,1248257925,69922272
10,3,23.5,19,19,17,23,951.4999999999999,1345,2261,323,95,323,1979,7,3.4,711261135,2081351901,373016638,1248257925,69922272
11,3,23.5,28,17,26,20,951.4999999999999,1364,2652,442,106,442,2162,6,3.4,711261135,2081351901,373016638,1248257925,69922272
12,3,48.5,51,34,36,13,1047,1288,4896,1224,153,1224,3044,4,3.4,711261135,2081351901,373016638,1248257925,69922272
13,2,49,68.5,33,49,58,1216.5,1012.5,24255,1617,222,1617,11129,15,3.9,711261135,2081351901,373016638,1248257925,69922272
14,3,42.5,37,24,33,27,926.4999999999999,910.5,6336,792,141,792,3870,8,3.4,711261135,2081351901,373016638,1248257925,69922272
15,4,42.5,44.5,27,34,72,926.4999999999999,947.5,22032,918,194,918,9702,24,3,711261135,2081351901,373016638,1248257925,69922272
16,3,23,40,11,34,23,926.4999999999999,1012.5,2618,374,113,374,2444,7,3.4,711261135,2081351901,373016638,1248257925,69922272
17,4,26.5,40,16,27,57,949.4999999999999,1012.5,8208,432,143,432,5334,19,3,711261135,2081351901,373016638,1248257925,69922272
18,3,49.5,36.5,33,26,34,926.4999999999999,1052.5,8580,858,152,858,4870,10,3.4,711261135,2081351901,373016638,1248257925,69922272
19,3,23,51,13,34,17,981.9999999999999,1341,2210,442,111,442,2040,5,3.4,711261135,2081351901,373016638,1248257925,69922272
20,4,28.500000000000114,51,16,37,72,1004.9999999999999,1341,14208,592,178,592,8224,24,3,711261135,2081351901,373016638,1248257925,69922272
21,2,52.5,54,39,41,74,926.4999999999999,1168,30381,1599,234,1599,13439,19,3.9,711261135,2081351901,373016638,1248257925,69922272
22,3,23,25,9,21,23,926.4999999999999,1222,1323,189,83,189,1569,7,3.4,711261135,2081351901,373016638,1248257925,69922272
23,3,23,25,12,22,23,926.4999999999999,1247,1848,264,91,264,1828,7,3.4,711261135,2081351901,373016638,1248257925,69922272
24,1,29.5,50,14,31,32,949.4999999999999,1222,4340,434,122,434,3314,10,3.2,711261135,2081351901,373016638,1248257925,69922272
25,2,40.5,68.5,24,55,50,1112.5,923.5,17160,1320,208,1320,9220,13,3.9,711261135,2081351901,373016638,1248257925,69922272
26,2,54.5,75.5,36,62,42,1098.5,1072,24552,2232,238,2232,10464,11,3.9,711261135,2081351901,373016638,1248257925,69922272
27,4,45,59,27,43,78,1229.5,1213,30186,1161,218,1161,12081,26,3,711261135,2081351901,373016638,1248257925,69922272
28,2,58.5,68.5,42,57,81,1047,923.5,50274,2394,279,2394,18432,21,3.9,711261135,2081351901,373016638,1248257925,69922272
29,4,47.500000000000114,62,29,44,57,985.9999999999999,1168,24244,1276,203,1276,9598,19,3,711261135,2081351901,373016638,1248257925,69922272
30,1,47.500000000000114,42,29,39,16,985.9999999999999,1230,5655,1131,152,1131,3307,5,3.2,711261135,2081351901,373016638,1248257925,69922272
31,3,26,45,14,32,23,975.9999999999999,910.5,3136,448,115,448,2564,7,3.4,711261135,2081351901,373016638,1248257925,69922272
32,5,57.500000000000114,36.5,53,30,12,975.9999999999999,955.5,4770,1590,178,1590,3582,3,4,711261135,2081351901,373016638,1248257925,69922272
33,2,43.5,49,24,36,93,1109.5,1168,20736,864,213,864,12024,24,3.9,711261135,2081351901,373016638,1248257925,69922272
34,4,43.5,55,30,38,66,1109.5,1217,25080,1140,202,1140,10116,22,3,711261135,2081351901,373016638,1248257925,69922272
35,4,50.500000000000114,42,31,29,63,982.9999999999999,1012.5,18879,899,183,899,8459,21,3,711261135,2081351901,373016638,1248257925,69922272
36,3,50.500000000000114,34.5,33,30,30,982.9999999999999,1054.5,8910,990,156,990,4770,9,3.4,711261135,2081351901,373016638,1248257925,69922272
37,1,55.5,44,41,33,25,1047,1228,10824,1353,173,1353,5053,8,3.2,711261135,2081351901,373016638,1248257925,69922272
