ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,4,36,36,18,24,81,1106.5,947,11664,432,165,432,7236,27,3,362959435,1745066133,466765210,1197073103,25855928
2,3,14,25.5,10,21,34,1106.5,983,2100,210,96,210,2318,10,3.4,362959435,1745066133,466765210,1197073103,25855928
3,3,22,25.5,8,19,34,1120.5,983,1520,152,88,152,1988,10,3.4,362959435,1745066133,466765210,1197073103,25855928
4,3,12,24,11,23,23,1142.5,947,1771,253,91,253,1817,7,3.4,362959435,1745066133,466765210,1197073103,25855928
5,1,16,24,15,23,32,1154.5,947,3450,345,108,345,2777,10,3.2,362959435,1745066133,466765210,1197073103,25855928
6,3,23,24,16,19,34,1170.5,947,3040,304,104,304,2684,10,3.4,362959435,1745066133,466765210,1197073103,25855928
7,1,51,37.5,34,18,25,1142.5,971,4896,612,129,612,3212,8,3.2,362959435,1745066133,466765210,1197073103,25855928
8,5,82.5,32.5,81,20,8,947,901,3240,1620,210,1620,3236,2,4,362959435,1745066133,466765210,1197073103,25855928
9,4,33,53.5,21,42,51,947,1108,14994,882,177,882,7308,17,3,362959435,1745066133,466765210,1197073103,25855928
10,1,44.5,23,31,21,35,980,1108,7161,651,139,651,4291,11,3.2,362959435,1745066133,466765210,1197073103,25855928
11,3,24,30.5,18,30,23,980,1131,3780,540,119,540,2748,7,3.4,362959435,1745066133,466765210,1197073103,25855928
12,3,20.5,30.5,18,16,27,1004,1131,2304,288,95,288,2124,8,3.4,362959435,1745066133,466765210,1197073103,25855928
13,5,71.5,35,65,16,8,1021.5,947,2080,1040,170,1040,2336,2,4,362959435,1745066133,466765210,1197073103,25855928
14,3,14,26,11,18,30,947,1207,1782,198,88,198,1938,9,3.4,362959435,1745066133,466765210,1197073103,25855928
15,3,23,26,11,19,30,961,1207,1881,209,90,209,2009,9,3.4,362959435,1745066133,466765210,1197073103,25855928
16,3,37,19,33,17,27,947,1233,4488,561,127,561,3261,8,3.4,362959435,1745066133,466765210,1197073103,25855928
17,4,40.5,45,28,28,78,984,1207,20384,784,190,784,9520,26,3,362959435,1745066133,466765210,1197073103,25855928
18,4,31,56.5,18,45,72,947,1036.5,19440,810,198,810,9882,24,3,362959435,1745066133,466765210,1197073103,25855928
19,2,36.5,56.5,26,45,89,978,1036.5,26910,1170,231,1170,13808,23,3.9,362959435,1745066133,466765210,1197073103,25855928
20,4,42.5,35,27,24,57,1206.5,1185.5,12312,648,159,648,6462,19,3,362959435,1745066133,466765210,1197073103,25855928
21,3,25,31.5,21,24,34,1206.5,1220.5,5040,504,124,504,3564,10,3.4,362959435,1745066133,466765210,1197073103,25855928
22,1,17.5,31.5,13,21,22,1231.5,1220.5,1911,273,90,273,1769,7,3.2,362959435,1745066133,466765210,1197073103,25855928
23,4,44.5,41,27,27,78,1106.5,1015.5,18954,729,186,729,9153,26,3,362959435,1745066133,466765210,1197073103,25855928
24,3,25.5,36.5,8,21,27,1125.5,1056.5,1344,168,85,168,1734,8,3.4,362959435,1745066133,466765210,1197073103,25855928
25,5,67.5,34,50,27,8,947,947,2700,1350,162,1350,2582,2,4,362959435,1745066133,466765210,1197073103,25855928
26,2,67.5,48.5,49,38,101,947,981,48412,1862,275,1862,19436,26,3.9,362959435,1745066133,466765210,1197073103,25855928
27,4,35.5,44,19,29,72,1158,1015.5,13224,551,168,551,7463,24,3,362959435,1745066133,466765210,1197073103,25855928
28,1,35.5,33.5,21,19,35,1158,1059.5,4389,399,115,399,3199,11,3.2,362959435,1745066133,466765210,1197073103,25855928
29,2,76.5,66,64,50,113,1016.5,1267,92800,3200,341,3200,28964,29,3.9,362959435,1745066133,466765210,1197073103,25855928
30,3,22,37,9,26,23,1106.5,1296,1638,234,93,234,1844,7,3.4,362959435,1745066133,466765210,1197073103,25855928
31,3,22,37,13,27,34,1128.5,1296,3510,351,114,351,3071,10,3.4,362959435,1745066133,466765210,1197073103,25855928
32,4,43,66,31,47,54,1150.5,1267,26226,1457,210,1457,9881,18,3,362959435,1745066133,466765210,1197073103,25855928
33,3,24,45,16,32,27,1031.5,1171.5,4096,512,123,512,3104,8,3.4,362959435,1745066133,466765210,1197073103,25855928
34,4,37.5,45,22,31,78,1055.5,1171.5,17732,682,184,682,8950,26,3,362959435,1745066133,466765210,1197073103,25855928
35,4,30,35.5,16,24,78,1031.5,1216.5,9984,384,158,384,6624,26,3,362959435,1745066133,466765210,1197073103,25855928
36,3,31.5,18,26,16,27,1061.5,1216.5,3328,416,111,416,2684,8,3.4,362959435,1745066133,466765210,1197073103,25855928
37,3,31.5,17.5,18,16,27,1061.5,1234.5,2304,288,95,288,2124,8,3.4,362959435,1745066133,466765210,1197073103,25855928
38,2,51.5,66,38,47,109,1206.5,1267,50008,1786,279,1786,20316,28,3.9,362959435,1745066133,466765210,1197073103,25855928
39,1,39,26.5,20,22,25,1106.5,1139,3520,440,109,440,2540,8,3.2,362959435,1745066133,466765210,1197073103,25855928
40,1,56.5,40,43,27,19,1206.5,947,6966,1161,159,1161,3821,6,3.2,362959435,1745066133,466765210,1197073103,25855928
41,3,22,21,12,18,34,1206.5,987,2160,216,94,216,2256,10,3.4,362959435,1745066133,466765210,1197073103,25855928
42,3,22,21.5,9,19,34,1206.5,1008,1710,171,90,171,2075,10,3.4,362959435,1745066133,466765210,1197073103,25855928
43,4,34.5,42.5,19,24,57,1228.5,987,8664,456,143,456,5358,19,3,362959435,1745066133,466765210,1197073103,25855928
44,3,36.5,38,19,19,34,1157,1172.5,3610,361,110,361,2945,10,3.4,362959435,1745066133,466765210,1197073103,25855928
45,4,36.5,41.5,21,24,81,1157,1210.5,13608,504,171,504,7794,27,3,362959435,1745066133,466765210,1197073103,25855928
46,5,77.5,31.5,69,12,8,947,1168.5,1656,828,170,828,2124,2,4,362959435,1745066133,466765210,1197073103,25855928
47,3,18,43,17,32,27,1106.5,1172.5,4352,544,125,544,3190,8,3.4,362959435,1745066133,466765210,1197073103,25855928
48,3,25.5,22,12,19,27,1124.5,1172.5,1824,228,89,228,1902,8,3.4,362959435,1745066133,466765210,1197073103,25855928
49,3,25.5,21,17,16,34,1124.5,1194.5,2720,272,100,272,2516,10,3.4,362959435,1745066133,466765210,1197073103,25855928
50,4,43.5,36.5,25,25,69,1106.5,1215.5,14375,625,169,625,7525,23,3,362959435,1745066133,466765210,1197073103,25855928
51,1,62.5,38,43,28,35,947,1267,13244,1204,177,1204,6174,11,3.2,362959435,1745066133,466765210,1197073103,25855928
52,1,25,28,21,24,28,947,1305,4536,504,118,504,3024,9,3.2,362959435,1745066133,466765210,1197073103,25855928
53,3,20,28,12,17,27,972,1305,1632,204,85,204,1770,8,3.4,362959435,1745066133,466765210,1197073103,25855928
54,1,17.5,28,17,23,32,992,1305,3910,391,112,391,2951,10,3.2,362959435,1745066133,466765210,1197073103,25855928
55,3,22,41,13,34,27,891.5,1011.5,3536,442,121,442,2980,8,3.4,362959435,1745066133,466765210,1197073103,25855928
56,3,19.5,41,19,27,27,913.5,1011.5,4104,513,119,513,2997,8,3.4,362959435,1745066133,466765210,1197073103,25855928
57,3,17,40.5,13,35,30,891.5,1052.5,4095,455,126,455,3335,9,3.4,362959435,1745066133,466765210,1197073103,25855928
58,3,24.5,40.5,20,33,27,908.5,1052.5,5280,660,133,660,3522,8,3.4,362959435,1745066133,466765210,1197073103,25855928
59,3,43.5,33.5,25,19,23,1270,996,3325,475,111,475,2499,7,3.4,362959435,1745066133,466765210,1197073103,25855928
60,3,17,27,11,19,30,1259,1036.5,1881,209,90,209,2009,9,3.4,362959435,1745066133,466765210,1197073103,25855928
61,3,13,27,9,23,23,1276,1036.5,1449,207,87,207,1679,7,3.4,362959435,1745066133,466765210,1197073103,25855928
62,1,24.5,27,17,22,25,1289,1036.5,2992,374,103,374,2324,8,3.2,362959435,1745066133,466765210,1197073103,25855928
63,1,54.5,29.5,43,20,25,1259,1063.5,6880,860,151,860,4010,8,3.2,362959435,1745066133,466765210,1197073103,25855928
64,4,41.5,38,26,27,78,891.5,1108,18252,702,184,702,8970,26,3,362959435,1745066133,466765210,1197073103,25855928
65,4,41.5,39.5,29,29,78,891.5,1146,21866,841,194,841,9889,26,3,362959435,1745066133,466765210,1197073103,25855928
66,1,53.5,40,37,33,35,1260,1108,13431,1221,175,1221,6121,11,3.2,362959435,1745066133,466765210,1197073103,25855928
67,1,57.5,31,41,24,12,1256,1185.5,3936,984,142,984,2544,4,3.2,362959435,1745066133,466765210,1197073103,25855928
68,3,25,35.5,7,17,34,1256,1216.5,1190,119,82,119,1751,10,3.4,362959435,1745066133,466765210,1197073103,25855928
69,1,25.5,38,24,20,28,1288,1267,4320,480,116,480,2944,9,3.2,362959435,1745066133,466765210,1197073103,25855928
70,2,80.5,70.5,68,59,85,947,1346.5,88264,4012,339,4012,25602,22,3.9,362959435,1745066133,466765210,1197073103,25855928
71,1,58.5,37.5,40,18,28,1034.5,1379.5,6480,720,144,720,3968,9,3.2,362959435,1745066133,466765210,1197073103,25855928
72,3,44.5,31,28,22,34,1106.5,1346.5,6160,616,134,616,4016,10,3.4,362959435,1745066133,466765210,1197073103,25855928
73,4,44.5,45.5,28,34,57,1106.5,1377.5,18088,952,181,952,8020,19,3,362959435,1745066133,466765210,1197073103,25855928
74,3,35.5,30,22,25,17,1158,1346.5,2750,550,111,550,2148,5,3.4,362959435,1745066133,466765210,1197073103,25855928
75,4,35.5,46.5,23,33,48,1158,1376.5,12144,759,160,759,6135,16,3,362959435,1745066133,466765210,1197073103,25855928
76,3,42.5,32,30,24,34,1206.5,1346.5,7200,720,142,720,4392,10,3.4,362959435,1745066133,466765210,1197073103,25855928
77,4,42.5,44.5,26,32,48,1206.5,1378.5,13312,832,164,832,6400,16,3,362959435,1745066133,466765210,1197073103,25855928
78,2,57.5,76.5,41,58,113,1256,1346.5,68962,2378,311,2378,24752,29,3.9,362959435,1745066133,466765210,1197073103,25855928
79,4,37,38.5,25,28,66,847,846.5,15400,700,172,700,7696,22,3,362959435,1745066133,466765210,1197073103,25855928
80,3,23,38.5,20,26,27,884,846.5,4160,520,119,520,3004,8,3.4,362959435,1745066133,466765210,1197073103,25855928
81,3,26,38.5,14,26,34,907,846.5,3640,364,114,364,3084,10,3.4,362959435,1745066133,466765210,1197073103,25855928
82,5,86,41.5,68,33,8,847,892,4488,2244,210,2244,3860,2,4,362959435,1745066133,466765210,1197073103,25855928
83,4,48,47.5,30,31,42,947,846.5,13020,930,164,930,6054,14,3,362959435,1745066133,466765210,1197073103,25855928
84,2,34.5,47.5,24,36,93,995,846.5,20736,864,213,864,12024,24,3.9,362959435,1745066133,466765210,1197073103,25855928
85,3,37.5,27,18,16,27,1106.5,846.5,2304,288,95,288,2124,8,3.4,362959435,1745066133,466765210,1197073103,25855928
86,3,19,23,17,18,34,1106.5,873.5,3060,306,104,306,2686,10,3.4,362959435,1745066133,466765210,1197073103,25855928
87,3,18.5,23,14,16,17,1125.5,873.5,1120,224,77,224,1244,5,3.4,362959435,1745066133,466765210,1197073103,25855928
88,4,37.5,37,19,26,81,1106.5,896.5,13338,494,171,494,7784,27,3,362959435,1745066133,466765210,1197073103,25855928
89,3,19,20,18,19,30,1151,861.5,3078,342,104,342,2562,9,3.4,362959435,1745066133,466765210,1197073103,25855928
90,3,23.5,35,14,26,27,1170,846.5,2912,364,107,364,2524,8,3.4,362959435,1745066133,466765210,1197073103,25855928
91,2,42.5,52,29,35,74,1151,881.5,19285,1015,202,1015,10487,19,3.9,362959435,1745066133,466765210,1197073103,25855928
92,4,48.5,42,30,25,69,1206.5,846.5,17250,750,179,750,8340,23,3,362959435,1745066133,466765210,1197073103,25855928
93,4,48.5,45,29,33,57,1206.5,888.5,18183,957,181,957,8025,19,3,362959435,1745066133,466765210,1197073103,25855928
94,3,51.5,45,34,33,20,1262,846.5,6732,1122,154,1122,3802,6,3.4,362959435,1745066133,466765210,1197073103,25855928
95,4,30,42,19,26,66,1262,891.5,10868,494,156,494,6434,22,3,362959435,1745066133,466765210,1197073103,25855928
96,4,35,57.5,17,41,57,898,947,13243,697,173,697,7309,19,3,362959435,1745066133,466765210,1197073103,25855928
97,4,37.5,38,24,26,81,847,1011.5,16848,624,181,624,8724,27,3,362959435,1745066133,466765210,1197073103,25855928
98,3,37.5,22,25,16,30,847,1049.5,3600,400,112,400,2860,9,3.4,362959435,1745066133,466765210,1197073103,25855928
99,3,37.5,21.5,21,17,30,847,1071.5,3213,357,106,357,2637,9,3.4,362959435,1745066133,466765210,1197073103,25855928
100,4,37.5,35,27,24,63,847,1108,13608,648,165,648,7074,21,3,362959435,1745066133,466765210,1197073103,25855928
101,4,37.5,42.5,22,28,78,847,1143,16016,616,178,616,8416,26,3,362959435,1745066133,466765210,1197073103,25855928
