ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,3,43,19,24,18,13,972.5,1008.5,1728,432,97,432,1524,4,3.4,1731554970,1822340064,489754782,701548304,490252484
2,3,43,25.5,29,22,17,972.5,1027.5,3190,638,119,638,2372,5,3.4,1731554970,1822340064,489754782,701548304,490252484
3,3,25,44.5,19,32,13,1015.5,1008.5,2432,608,115,608,1934,4,3.4,1731554970,1822340064,489754782,701548304,490252484
4,3,27,22,16,17,20,1040.5,1008.5,1632,272,86,272,1592,6,3.4,1731554970,1822340064,489754782,701548304,490252484
5,1,27,22.5,22,22,16,1040.5,1030.5,2420,484,104,484,1892,5,3.2,1731554970,1822340064,489754782,701548304,490252484
6,5,104,54.5,90,35,8,1088,998.5,6300,3150,258,3150,5150,2,4,1731554970,1822340064,489754782,701548304,490252484
7,5,54.5,45,53,27,12,1137.5,1147,4293,1431,172,1431,3351,3,4,1731554970,1822340064,489754782,701548304,490252484
8,3,23,41,8,30,13,1137.5,1192,960,240,89,240,1228,4,3.4,1731554970,1822340064,489754782,701548304,490252484
9,1,31.5,41,15,22,16,1160.5,1192,1650,330,90,330,1514,5,3.2,1731554970,1822340064,489754782,701548304,490252484
10,1,55,54.5,43,49,28,972.5,947,18963,2107,212,2107,7259,9,3.2,1731554970,1822340064,489754782,701548304,490252484
11,1,40,54.5,39,45,16,1027.5,947,8775,1755,184,1755,4443,5,3.2,1731554970,1822340064,489754782,701548304,490252484
12,3,52,44.5,34,27,27,1088,947,7344,918,149,918,4212,8,3.4,1731554970,1822340064,489754782,701548304,490252484
13,1,52,44.5,40,25,16,1140,947,5000,1000,146,1000,3080,5,3.2,1731554970,1822340064,489754782,701548304,490252484
14,4,42.5,46,24,29,45,1088,1147,10440,696,151,696,5466,15,3,1731554970,1822340064,489754782,701548304,490252484
15,1,24,40,13,24,22,1088,1193,2184,312,96,312,1940,7,3.2,1731554970,1822340064,489754782,701548304,490252484
16,3,18.5,40,8,26,13,1112,1193,832,208,81,208,1092,4,3.4,1731554970,1822340064,489754782,701548304,490252484
17,3,49.5,33,30,32,17,1018,1068,4800,960,141,960,3068,5,3.4,1731554970,1822340064,489754782,701548304,490252484
18,1,49.5,31,33,19,16,1018,1101,3135,627,120,627,2291,5,3.2,1731554970,1822340064,489754782,701548304,490252484
19,4,37.5,42,20,31,51,1030,1147,10540,620,153,620,5822,17,3,1731554970,1822340064,489754782,701548304,490252484
20,4,37.5,44,27,33,39,1030,1189,11583,891,159,891,5571,13,3,1731554970,1822340064,489754782,701548304,490252484
21,3,38.5,33,27,30,13,972.5,1068,3240,810,127,810,2292,4,3.4,1731554970,1822340064,489754782,701548304,490252484
22,3,38.5,31,21,30,20,972.5,1101,3780,630,122,630,2670,6,3.4,1731554970,1822340064,489754782,701548304,490252484
23,1,49.5,64,42,47,16,1088,1068,9870,1974,194,1974,4822,5,3.2,1731554970,1822340064,489754782,701548304,490252484
24,1,29,42.5,14,37,35,1207,1010.5,5698,518,137,518,4088,11,3.2,1731554970,1822340064,489754782,701548304,490252484
25,3,29.5,42.5,10,36,23,1236,1010.5,2520,360,115,360,2476,7,3.4,1731554970,1822340064,489754782,701548304,490252484
26,5,59.5,46,57,34,12,1207,1147,5814,1938,194,1938,4122,3,4,1731554970,1822340064,489754782,701548304,490252484
27,3,28,40,17,37,13,1207,1193,2516,629,121,629,2033,4,3.4,1731554970,1822340064,489754782,701548304,490252484
28,4,31.5,40,18,29,45,1235,1193,7830,522,139,522,4752,15,3,1731554970,1822340064,489754782,701548304,490252484
29,1,40.5,64,35,54,16,1207,1068,9450,1890,194,1890,4738,5,3.2,1731554970,1822340064,489754782,701548304,490252484
30,1,48.5,44,35,31,16,1207,1247,5425,1085,148,1085,3197,5,3.2,1731554970,1822340064,489754782,701548304,490252484
31,2,48.5,62,36,44,62,1207,1291,25344,1584,222,1584,11504,16,3.9,1731554970,1822340064,489754782,701548304,490252484
32,1,58.5,56.5,43,52,22,1207,947,15652,2236,212,2236,6416,7,3.2,1731554970,1822340064,489754782,701548304,490252484
33,4,47.5,64,29,46,39,1144.5,1068,17342,1334,189,1334,7184,13,3,1731554970,1822340064,489754782,701548304,490252484
34,1,50.5,49,35,42,28,972.5,1184,13230,1470,182,1470,5782,9,3.2,1731554970,1822340064,489754782,701548304,490252484
35,3,45,24,34,17,23,1088,1247,4046,578,125,578,2924,7,3.4,1731554970,1822340064,489754782,701548304,490252484
36,3,45,22.5,33,22,13,1088,1271,2904,726,123,726,2156,4,3.4,1731554970,1822340064,489754782,701548304,490252484
37,5,59,46.5,51,32,12,1133,1247,4896,1632,178,1632,3624,3,4,1731554970,1822340064,489754782,701548304,490252484
