ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,3,19,20,17,16,13,1026.5,1118,1088,272,79,272,1130,4,3.4,1428863249,1077688008,1023786692,319479287,326087032
2,3,8,20,7,16,17,1045.5,1118,560,112,63,112,894,5,3.4,1428863249,1077688008,1023786692,319479287,326087032
3,3,12,20,10,17,23,1053.5,1118,1190,170,77,170,1412,7,3.4,1428863249,1077688008,1023786692,319479287,326087032
4,3,39,29,20,22,23,1026.5,1138,3080,440,107,440,2372,7,3.4,1428863249,1077688008,1023786692,319479287,326087032
5,3,27.5,29,26,16,17,1065.5,1118,2080,416,101,416,1844,5,3.4,1428863249,1077688008,1023786692,319479287,326087032
6,3,27.5,20,11,16,13,1065.5,1147,704,176,67,176,878,4,3.4,1428863249,1077688008,1023786692,319479287,326087032
7,1,18,30,14,20,16,1023.5,1267,1400,280,84,280,1368,5,3.2,1428863249,1077688008,1023786692,319479287,326087032
8,3,21,30,15,17,13,1041.5,1267,1020,255,77,255,1087,4,3.4,1428863249,1077688008,1023786692,319479287,326087032
9,1,30.5,30,14,28,16,1062.5,1267,1960,392,100,392,1736,5,3.2,1428863249,1077688008,1023786692,319479287,326087032
10,4,39,45.5,27,28,48,1023.5,1297,12096,756,158,756,6036,16,3,1428863249,1077688008,1023786692,319479287,326087032
11,3,30.5,19,14,17,13,1062.5,1297,952,238,75,238,1044,4,3.4,1428863249,1077688008,1023786692,319479287,326087032
12,1,30.5,26.5,27,19,22,1062.5,1316,3591,513,114,513,2537,7,3.2,1428863249,1077688008,1023786692,319479287,326087032
13,2,65.5,72.5,46,54,39,1027.5,979.5,24840,2484,239,2484,10284,10,3.9,1428863249,1077688008,1023786692,319479287,326087032
14,3,41,32,25,16,13,1146.5,1072.5,1600,400,95,400,1466,4,3.4,1428863249,1077688008,1023786692,319479287,326087032
15,3,41,43.5,24,30,17,1146.5,1104.5,3600,720,125,720,2556,5,3.4,1428863249,1077688008,1023786692,319479287,326087032
16,5,73.5,44,70,35,8,1107,974.5,4900,2450,218,2450,4130,2,4,1428863249,1077688008,1023786692,319479287,326087032
17,5,73.5,33.5,58,19,12,1107,1018.5,3306,1102,166,1102,2950,3,4,1428863249,1077688008,1023786692,319479287,326087032
18,1,40,38.5,32,30,16,1170.5,1267,4800,960,140,960,2944,5,3.2,1428863249,1077688008,1023786692,319479287,326087032
19,3,22,38.5,15,29,17,1210.5,1267,2175,435,105,435,1931,5,3.4,1428863249,1077688008,1023786692,319479287,326087032
20,1,20.5,38.5,14,28,16,1232.5,1267,1960,392,100,392,1736,5,3.2,1428863249,1077688008,1023786692,319479287,326087032
21,5,79.5,47,75,29,8,1107,920.5,4350,2175,216,2175,3839,2,4,1428863249,1077688008,1023786692,319479287,326087032
22,5,69.5,33,59,18,12,947,1267,3186,1062,166,1062,2910,3,4,1428863249,1077688008,1023786692,319479287,326087032
23,3,37,42.5,28,34,30,947,1300,8568,952,154,952,4672,9,3.4,1428863249,1077688008,1023786692,319479287,326087032
24,3,32.5,42.5,32,36,13,984,1300,4608,1152,149,1152,2920,4,3.4,1428863249,1077688008,1023786692,319479287,326087032
25,2,75.5,73.5,61,62,58,1017.5,1174,56730,3782,304,3782,18050,15,3.9,1428863249,1077688008,1023786692,319479287,326087032
26,3,25,32,9,22,13,1194.5,1072.5,792,198,75,198,1004,4,3.4,1428863249,1077688008,1023786692,319479287,326087032
27,3,33.5,32,25,27,20,1219.5,1072.5,4050,675,124,675,2755,6,3.4,1428863249,1077688008,1023786692,319479287,326087032
28,3,33,43.5,22,34,13,1194.5,1104.5,2992,748,125,748,2204,4,3.4,1428863249,1077688008,1023786692,319479287,326087032
