ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,3,28.5,34,11,17,17,908,1213.5,935,187,73,187,1139,5,3.4,966105771,431674155,1244548556,230145676,191631196
2,3,28.5,45.5,26,36,30,908,1247.5,8424,936,154,936,4656,9,3.4,966105771,431674155,1244548556,230145676,191631196
3,1,26,33,14,22,22,990.5,1147,2156,308,94,308,1892,7,3.2,966105771,431674155,1244548556,230145676,191631196
4,3,26,26.5,8,19,17,990.5,1180,760,152,71,152,1070,5,3.4,966105771,431674155,1244548556,230145676,191631196
5,3,35.5,33,20,19,17,1016.5,1147,1900,380,95,380,1706,5,3.4,966105771,431674155,1244548556,230145676,191631196
6,1,35.5,26.5,19,22,16,1016.5,1180,2090,418,98,418,1730,5,3.2,966105771,431674155,1244548556,230145676,191631196
7,1,32,34,18,30,16,1167,1147,2700,540,112,540,2076,5,3.2,966105771,431674155,1244548556,230145676,191631196
8,3,32,27.5,19,23,13,1167,1181,1748,437,97,437,1529,4,3.4,966105771,431674155,1244548556,230145676,191631196
9,3,46.5,34,30,29,17,1199,1147,4350,870,135,870,2876,5,3.4,966105771,431674155,1244548556,230145676,191631196
10,1,22,27.5,19,19,16,1199,1181,1805,361,92,361,1577,5,3.2,966105771,431674155,1244548556,230145676,191631196
11,1,24.5,27.5,19,22,16,1221,1181,2090,418,98,418,1730,5,3.2,966105771,431674155,1244548556,230145676,191631196
12,1,29,26,27,20,16,996.5,1069.5,2700,540,110,540,2044,5,3.2,966105771,431674155,1244548556,230145676,191631196
13,3,26.5,26,25,23,17,1025.5,1069.5,2875,575,113,575,2207,5,3.4,966105771,431674155,1244548556,230145676,191631196
14,5,55.5,36.5,53,36,12,996.5,1095.5,5724,1908,190,1908,4044,3,4,966105771,431674155,1244548556,230145676,191631196
15,1,39,65.5,22,61,19,1066.5,1227.5,8052,1342,185,1342,4496,6,3.2,966105771,431674155,1244548556,230145676,191631196
16,3,23,30,20,18,17,1105.5,1227.5,1800,360,93,360,1652,5,3.4,966105771,431674155,1244548556,230145676,191631196
17,3,25,30,7,19,17,1128.5,1227.5,665,133,69,133,1017,5,3.4,966105771,431674155,1244548556,230145676,191631196
18,1,48,35.5,40,25,25,1105.5,1257.5,8000,1000,155,1000,4250,8,3.2,966105771,431674155,1244548556,230145676,191631196
19,3,25,26,23,16,23,908,988,2576,368,101,368,2162,7,3.4,966105771,431674155,1244548556,230145676,191631196
20,3,22,26,20,23,17,933,988,2300,460,103,460,1922,5,3.4,966105771,431674155,1244548556,230145676,191631196
21,3,47,31.5,28,17,30,908,1014,4284,476,120,476,3176,9,3.4,966105771,431674155,1244548556,230145676,191631196
22,3,34.5,28,28,19,13,955,988,2128,532,107,532,1754,4,3.4,966105771,431674155,1244548556,230145676,191631196
23,1,15,29.5,13,25,25,955,1016,2600,325,101,325,2225,8,3.2,966105771,431674155,1244548556,230145676,191631196
24,1,19.5,29.5,14,21,16,970,1016,1470,294,86,294,1414,5,3.2,966105771,431674155,1244548556,230145676,191631196
25,1,30,79.5,25,61,16,959.5,1052.5,7625,1525,188,1525,4277,5,3.2,966105771,431674155,1244548556,230145676,191631196
26,1,31,59.5,15,50,16,908,1147,3750,750,146,750,2830,5,3.2,966105771,431674155,1244548556,230145676,191631196
27,3,44.5,31,33,29,13,939,1147,3828,957,137,957,2569,4,3.4,966105771,431674155,1244548556,230145676,191631196
28,3,26,28.5,14,18,17,939,1178,1260,252,81,252,1340,5,3.4,966105771,431674155,1244548556,230145676,191631196
29,3,18.5,28.5,15,26,27,965,1178,3120,390,109,390,2604,8,3.4,966105771,431674155,1244548556,230145676,191631196
30,1,46,45,37,37,16,943.5,1213.5,6845,1369,164,1369,3737,5,3.2,966105771,431674155,1244548556,230145676,191631196
31,1,46,34.5,39,23,16,943.5,1258.5,4485,897,140,897,2881,5,3.2,966105771,431674155,1244548556,230145676,191631196
32,3,17,36,7,20,17,1167,1061.5,700,140,71,140,1058,5,3.4,966105771,431674155,1244548556,230145676,191631196
33,3,19,36,9,21,13,1184,1061.5,756,189,73,189,969,4,3.4,966105771,431674155,1244548556,230145676,191631196
34,3,36,34.5,26,16,27,1167,1097.5,3328,416,111,416,2684,8,3.4,966105771,431674155,1244548556,230145676,191631196
