ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,2,79.5,52.5,62,41,109,1027,1095,71176,2542,315,2542,24996,28,3.9,647289209,7351633332,128853045,1455796153,113061138
2,5,58.5,34,52,25,12,907,1073,3900,1300,166,1300,3148,3,4,647289209,7351633332,128853045,1455796153,113061138
3,1,58.5,40.5,39,27,35,907,1107,11583,1053,167,1053,5673,11,3.2,647289209,7351633332,128853045,1455796153,113061138
4,1,55,63.5,37,58,16,1232.5,1084,10730,2146,206,2146,5186,5,3.2,647289209,7351633332,128853045,1455796153,113061138
5,2,41.5,72.5,31,53,50,1104.5,1279.5,21359,1643,218,1643,10043,13,3.9,647289209,7351633332,128853045,1455796153,113061138
6,3,41.5,31,24,21,30,1027,916,4536,504,120,504,3204,9,3.4,647289209,7351633332,128853045,1455796153,113061138
7,4,41.5,40.5,30,28,75,1027,947,21000,840,191,840,9540,25,3,647289209,7351633332,128853045,1455796153,113061138
8,1,58.5,43,42,38,35,954.5,1168,17556,1596,195,1596,7196,11,3.2,647289209,7351633332,128853045,1455796153,113061138
9,2,58.5,58.5,39,39,78,907,929,30420,1521,234,1521,13689,20,3.9,647289209,7351633332,128853045,1455796153,113061138
10,4,40.5,46,25,33,45,907,1272.5,12375,825,161,825,6045,15,3,647289209,7351633332,128853045,1455796153,113061138
11,1,40.5,39,38,36,35,907,1168,15048,1368,183,1368,6548,11,3.2,647289209,7351633332,128853045,1455796153,113061138
12,3,40.5,33,23,21,23,907,1207,3381,483,111,483,2507,7,3.4,647289209,7351633332,128853045,1455796153,113061138
13,3,40.5,25.5,33,23,34,907,1240,7590,759,146,759,4567,10,3.4,647289209,7351633332,128853045,1455796153,113061138
14,4,42,44,23,30,72,1171,910,16560,690,178,690,8322,24,3,647289209,7351633332,128853045,1455796153,113061138
15,3,42,33.5,29,33,20,1171,954,5742,957,144,957,3437,6,3.4,647289209,7351633332,128853045,1455796153,113061138
16,2,58.5,79.5,40,65,50,954.5,1272.5,33800,2600,260,2600,13100,13,3.9,647289209,7351633332,128853045,1455796153,113061138
17,1,40.5,64.5,21,51,32,1113.5,1083,10710,1071,176,1071,5679,10,3.2,647289209,7351633332,128853045,1455796153,113061138
18,2,40.5,58.5,21,39,113,972.5,929,23751,819,233,819,14379,29,3.9,647289209,7351633332,128853045,1455796153,113061138
19,2,40.5,74.5,28,64,105,972.5,1073,48384,1792,289,1792,21112,27,3.9,647289209,7351633332,128853045,1455796153,113061138
20,3,30,31,28,18,30,1076.5,1012.5,4536,504,122,504,3264,9,3.4,647289209,7351633332,128853045,1455796153,113061138
21,4,30,44.5,17,25,81,1076.5,1043.5,11475,425,165,425,7229,27,3,647289209,7351633332,128853045,1455796153,113061138
22,1,55,47,37,38,32,1232.5,1247.5,14060,1406,182,1406,6206,10,3.2,647289209,7351633332,128853045,1455796153,113061138
23,1,55,57.5,36,40,32,1232.5,1294.5,14400,1440,184,1440,6304,10,3.2,647289209,7351633332,128853045,1455796153,113061138
24,2,70.5,47,52,36,105,1027,1168,50544,1872,281,1872,20352,27,3.9,647289209,7351633332,128853045,1455796153,113061138
25,5,70.5,33.5,52,29,12,1027,1215,4524,1508,174,1508,3452,3,4,647289209,7351633332,128853045,1455796153,113061138
26,2,52,64.5,33,48,117,1161,1083,47520,1584,279,1584,20538,30,3.9,647289209,7351633332,128853045,1455796153,113061138
27,2,70.5,49.5,57,38,62,1027,1255.5,34656,2166,252,2166,13946,16,3.9,647289209,7351633332,128853045,1455796153,113061138
28,5,106,53.5,102,36,8,907,1012.5,7344,3672,284,3672,5880,2,4,647289209,7351633332,128853045,1455796153,113061138
29,1,55,33,36,32,22,1232.5,1168,8064,1152,158,1152,4144,7,3.2,647289209,7351633332,128853045,1455796153,113061138
30,1,55,39.5,37,38,28,1232.5,1201,12654,1406,178,1406,5606,9,3.2,647289209,7351633332,128853045,1455796153,113061138
31,1,57,49,38,48,32,1156,1168,18240,1824,204,1824,7328,10,3.2,647289209,7351633332,128853045,1455796153,113061138
32,2,57,55.5,46,45,39,1156,1217,20700,2070,221,2070,9168,10,3.9,647289209,7351633332,128853045,1455796153,113061138
33,2,43,63.5,30,44,117,1170,1012.5,39600,1320,265,1320,18636,30,3.9,647289209,7351633332,128853045,1455796153,113061138
34,2,55,69.5,39,58,74,1232.5,918,42978,2262,268,2262,16618,19,3.9,647289209,7351633332,128853045,1455796153,113061138
35,1,49.5,27,41,21,32,1113.5,1012.5,8610,861,156,861,4829,10,3.2,647289209,7351633332,128853045,1455796153,113061138
36,4,49.5,36.5,30,24,75,1113.5,1039.5,18000,720,183,720,8820,25,3,647289209,7351633332,128853045,1455796153,113061138
37,2,55,64.5,39,49,62,1232.5,1012.5,30576,1911,238,1911,12823,16,3.9,647289209,7351633332,128853045,1455796153,113061138
38,1,42,30,38,24,25,1075.5,916,7296,912,149,912,4012,8,3.2,647289209,7351633332,128853045,1455796153,113061138
39,4,42,41.5,28,26,60,1075.5,946,14560,728,168,728,7208,20,3,647289209,7351633332,128853045,1455796153,113061138
40,2,44.5,49.5,29,39,105,1104.5,1223,30537,1131,241,1131,15411,27,3.9,647289209,7351633332,128853045,1455796153,113061138
41,4,39.5,46.5,29,34,39,1124.5,941,12818,986,165,986,5900,13,3,647289209,7351633332,128853045,1455796153,113061138
42,1,57.5,69.5,43,58,19,907,852.5,14964,2494,221,2494,6332,6,3.2,647289209,7351633332,128853045,1455796153,113061138
43,4,45,50.5,31,31,63,1124.5,852.5,20181,961,187,961,8773,21,3,647289209,7351633332,128853045,1455796153,113061138
44,2,43.5,50.5,33,39,42,1169.5,852.5,14157,1287,186,1287,7335,11,3.9,647289209,7351633332,128853045,1455796153,113061138
45,2,55,58.5,37,44,46,1232.5,852.5,19536,1628,208,1628,9080,12,3.9,647289209,7351633332,128853045,1455796153,113061138
46,2,32.5,72.5,22,60,101,859.5,1075,34320,1320,265,1320,17884,26,3.9,647289209,7351633332,128853045,1455796153,113061138
47,5,70.5,40,59,33,8,1027,1312,3894,1947,192,1947,3419,2,4,647289209,7351633332,128853045,1455796153,113061138
48,2,47.5,66.5,31,52,66,1306.5,852.5,27404,1612,232,1612,12568,17,3.9,647289209,7351633332,128853045,1455796153,113061138
49,1,44.5,33,37,29,28,1306.5,1070,9657,1073,160,1073,4769,9,3.2,647289209,7351633332,128853045,1455796153,113061138
50,4,44.5,44.5,25,27,78,1306.5,1103,17550,675,182,675,8787,26,3,647289209,7351633332,128853045,1455796153,113061138
51,2,46.5,73.5,34,62,113,845.5,1168,61132,2108,305,2108,23804,29,3.9,647289209,7351633332,128853045,1455796153,113061138
52,1,55.5,37.5,37,37,19,1306.5,1314.5,8214,1369,167,1369,4181,6,3.2,647289209,7351633332,128853045,1455796153,113061138
53,5,106,50.5,95,35,12,907,1372.5,9975,3325,272,3325,6445,3,4,647289209,7351633332,128853045,1455796153,113061138
54,2,79.5,58.5,68,41,81,1027,1372.5,58548,2788,299,2788,20446,21,3.9,647289209,7351633332,128853045,1455796153,113061138
55,4,42.5,43,30,27,57,1113.5,1372.5,15390,810,171,810,7308,19,3,647289209,7351633332,128853045,1455796153,113061138
56,2,55,67.5,41,48,97,1232.5,1372.5,49200,1968,275,1968,19234,25,3.9,647289209,7351633332,128853045,1455796153,113061138
57,2,84,65.5,65,47,97,808,922,76375,3055,321,3055,24783,25,3.9,647289209,7351633332,128853045,1455796153,113061138
58,2,38,66.5,23,54,70,1361,852.5,22356,1242,224,1242,12022,18,3.9,647289209,7351633332,128853045,1455796153,113061138
59,4,39,61.5,27,42,54,1306.5,926,20412,1134,192,1134,8586,18,3,647289209,7351633332,128853045,1455796153,113061138
