ID,Type,plot_width,plot_depth,Building_Width,Building_Depth,Building_Height,xCor,yCor,Floor_Area,Footprint,Envelope,Roof_Area,Facade_Area,Number_Stories,Storey_Height,Type1_WLC,Type2_WLC,Type3_WLC,Type4_WLC,Type5_WLC
1,1,38.5,75,30,61,35,948,1032.5,20130,1830,217,1830,8200,11,3.2,1854259435,1875153717,244631605,1194401124,255831568
2,2,42.5,75,28,61,58,1040.5,1032.5,25620,1708,236,1708,12032,15,3.9,1854259435,1875153717,244631605,1194401124,255831568
3,2,50.5,64,38,50,50,1227,1288,24700,1900,226,1900,10700,13,3.9,1854259435,1875153717,244631605,1194401124,255831568
4,2,50.5,64,35,48,70,1034.5,1288,30240,1680,236,1680,13300,18,3.9,1854259435,1875153717,244631605,1194401124,255831568
5,4,39.5,41,29,30,36,1026.5,1188,10440,870,154,870,5118,12,3,1854259435,1875153717,244631605,1194401124,255831568
6,4,39.5,44.5,22,29,63,1026.5,1229,13398,638,165,638,7064,21,3,1854259435,1875153717,244631605,1194401124,255831568
7,2,51.5,66,39,52,93,1227,947,48672,2028,275,2028,18954,24,3.9,1854259435,1875153717,244631605,1194401124,255831568
8,1,31,66,17,47,12,948,947,3196,799,140,799,2335,4,3.2,1854259435,1875153717,244631605,1194401124,255831568
9,1,47.5,66,39,56,16,979,947,10920,2184,206,2184,5224,5,3.2,1854259435,1875153717,244631605,1194401124,255831568
10,2,71.5,66.5,60,54,85,948,1126.5,71280,3240,313,3240,22620,22,3.9,1854259435,1875153717,244631605,1194401124,255831568
11,1,40,43,39,24,16,993.5,1032.5,4680,936,142,936,2952,5,3.2,1854259435,1875153717,244631605,1194401124,255831568
12,3,40,32,22,21,20,993.5,1075.5,2772,462,106,462,2182,6,3.4,1854259435,1875153717,244631605,1194401124,255831568
13,2,55,62.5,38,50,50,1152.5,1211,24700,1900,226,1900,10700,13,3.9,1854259435,1875153717,244631605,1194401124,255831568
14,1,59,35,41,25,25,1073,1188,8200,1025,157,1025,4325,8,3.2,1854259435,1875153717,244631605,1194401124,255831568
15,3,25,50.5,8,32,30,1073,1223,2304,256,110,256,2656,9,3.4,1854259435,1875153717,244631605,1194401124,255831568
16,1,55,75,40,60,16,1152.5,1032.5,12000,2400,216,2400,5600,5,3.2,1854259435,1875153717,244631605,1194401124,255831568
17,1,42,44,30,43,28,1090,1032.5,11610,1290,174,1290,5378,9,3.2,1854259435,1875153717,244631605,1194401124,255831568
18,1,42,31,39,28,16,1090,1076.5,5460,1092,150,1092,3236,5,3.2,1854259435,1875153717,244631605,1194401124,255831568
19,1,55,39,41,27,19,1152.5,1126.5,6642,1107,155,1107,3691,6,3.2,1854259435,1875153717,244631605,1194401124,255831568
20,1,55,38.5,40,19,28,1152.5,1165.5,6840,760,146,760,4064,9,3.2,1854259435,1875153717,244631605,1194401124,255831568
21,2,46,66,35,55,46,1086,947,23100,1925,226,1925,10205,12,3.9,1854259435,1875153717,244631605,1194401124,255831568
22,5,71.5,29,65,28,8,948,1200,3640,1820,194,1820,3308,2,4,1854259435,1875153717,244631605,1194401124,255831568
23,5,71.5,44.5,70,35,12,948,1229,7350,2450,222,2450,4970,3,4,1854259435,1875153717,244631605,1194401124,255831568
24,5,105.5,54.5,104,36,8,1026.5,1126.5,7488,3744,288,3744,5984,2,4,1854259435,1875153717,244631605,1194401124,255831568
25,2,55,64,40,46,39,1152.5,1288,18400,1840,211,1840,8548,10,3.9,1854259435,1875153717,244631605,1194401124,255831568
